https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USDT,tradecount
1631577600000,2021-09-14 00:00:00,AAVE/USDT,331.00000000,333.60000000,328.00000000,329.00000000,2203.61400000,727830.51790000,2031
1631491200000,2021-09-13 00:00:00,AAVE/USDT,333.30000000,337.40000000,303.10000000,330.90000000,137457.19000000,43746151.27886900,114158
1631404800000,2021-09-12 00:00:00,AAVE/USDT,328.60000000,348.70000000,321.60000000,333.30000000,112163.68500000,37724902.75160000,107985
1631318400000,2021-09-11 00:00:00,AAVE/USDT,312.10000000,340.10000000,310.70000000,328.60000000,99820.36900000,32468190.07510000,92113
1631232000000,2021-09-10 00:00:00,AAVE/USDT,330.60000000,340.20000000,304.30000000,312.20000000,155908.73120000,50258545.44327700,113379
1631145600000,2021-09-09 00:00:00,AAVE/USDT,330.60000000,350.70000000,324.30000000,330.50000000,150482.95700000,50819332.60730000,124305
1631059200000,2021-09-08 00:00:00,AAVE/USDT,346.70000000,353.20000000,311.80000000,330.50000000,239682.59500000,80291045.51070000,164533
1630972800000,2021-09-07 00:00:00,AAVE/USDT,408.70000000,409.40000000,309.10000000,346.70000000,328526.73290000,117357868.48903100,299951
1630886400000,2021-09-06 00:00:00,AAVE/USDT,416.90000000,425.00000000,395.00000000,408.70000000,143054.61500000,59054289.26080000,154397
1630800000000,2021-09-05 00:00:00,AAVE/USDT,398.00000000,425.70000000,394.60000000,416.80000000,178856.84990000,74452946.80622800,233034
1630713600000,2021-09-04 00:00:00,AAVE/USDT,395.00000000,406.70000000,390.60000000,397.80000000,89592.69600000,35728090.40450000,90092
1630627200000,2021-09-03 00:00:00,AAVE/USDT,399.30000000,408.00000000,387.80000000,395.00000000,127761.84900000,50821151.64210000,129750
1630540800000,2021-09-02 00:00:00,AAVE/USDT,413.20000000,415.00000000,398.80000000,399.40000000,103052.85140000,41829070.55465600,119139
1630454400000,2021-09-01 00:00:00,AAVE/USDT,391.70000000,414.20000000,381.90000000,413.10000000,231975.59850000,93103821.74781900,273028
1630368000000,2021-08-31 00:00:00,AAVE/USDT,357.90000000,398.20000000,350.50000000,391.70000000,216322.43960000,81712273.24081100,243432
1630281600000,2021-08-30 00:00:00,AAVE/USDT,363.90000000,377.00000000,345.90000000,357.60000000,114782.01100000,41475623.01740000,110633
1630195200000,2021-08-29 00:00:00,AAVE/USDT,367.10000000,377.50000000,355.50000000,364.10000000,83041.75660000,30223758.69333900,80047
1630108800000,2021-08-28 00:00:00,AAVE/USDT,372.60000000,375.90000000,361.70000000,367.20000000,64113.91200000,23541975.33171900,53407
