https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MKR,Volume USDT,tradecount
1631577600000,2021-09-14 00:00:00,MKR/USDT,2810.00000000,2832.00000000,2787.00000000,2796.00000000,18.89490000,53112.71900000,297
1631491200000,2021-09-13 00:00:00,MKR/USDT,2873.00000000,2898.00000000,2620.00000000,2809.00000000,2513.96600000,6927550.26762530,25598
1631404800000,2021-09-12 00:00:00,MKR/USDT,2846.00000000,2967.00000000,2787.00000000,2874.00000000,2249.05290000,6510002.22820000,27416
1631318400000,2021-09-11 00:00:00,MKR/USDT,2785.00000000,2916.00000000,2771.00000000,2846.00000000,2052.49360000,5867699.24370000,20797
1631232000000,2021-09-10 00:00:00,MKR/USDT,2940.00000000,2994.00000000,2716.00000000,2783.00000000,3311.16710000,9480539.65513120,34625
1631145600000,2021-09-09 00:00:00,MKR/USDT,3020.00000000,3098.00000000,2905.00000000,2938.00000000,3834.25110000,11552895.61270000,39002
1631059200000,2021-09-08 00:00:00,MKR/USDT,3054.00000000,3131.00000000,2809.00000000,3021.00000000,3515.04380000,10499581.27130000,30794
1630972800000,2021-09-07 00:00:00,MKR/USDT,3621.00000000,3625.00000000,2780.00000000,3050.00000000,6970.73863000,22453019.06254020,69295
1630886400000,2021-09-06 00:00:00,MKR/USDT,3721.00000000,3724.00000000,3550.00000000,3620.00000000,3661.52820000,13315933.19600000,41461
1630800000000,2021-09-05 00:00:00,MKR/USDT,3552.00000000,3724.00000000,3525.00000000,3718.00000000,2980.09500000,10852037.57620000,29986
1630713600000,2021-09-04 00:00:00,MKR/USDT,3657.00000000,3720.00000000,3540.00000000,3548.00000000,2714.74090000,9883403.72530000,25099
1630627200000,2021-09-03 00:00:00,MKR/USDT,3547.00000000,3752.00000000,3477.00000000,3655.00000000,4164.91420000,15151119.84610000,39342
1630540800000,2021-09-02 00:00:00,MKR/USDT,3693.00000000,3702.00000000,3543.00000000,3543.00000000,2109.39110000,7616943.48860000,26303
1630454400000,2021-09-01 00:00:00,MKR/USDT,3523.00000000,3706.00000000,3421.00000000,3694.00000000,3300.07910000,11797961.03960000,39094
1630368000000,2021-08-31 00:00:00,MKR/USDT,3361.00000000,3569.00000000,3311.00000000,3526.00000000,4449.92800000,15385910.09180000,37392
1630281600000,2021-08-30 00:00:00,MKR/USDT,3453.00000000,3509.00000000,3307.00000000,3359.00000000,2959.55719000,10080979.72735960,26849
1630195200000,2021-08-29 00:00:00,MKR/USDT,3604.00000000,3682.00000000,3382.00000000,3452.00000000,3429.61999000,11962472.96336160,32586
1630108800000,2021-08-28 00:00:00,MKR/USDT,3751.00000000,3785.00000000,3581.00000000,3604.00000000,1913.45680000,7007441.74910000,21335
1630022400000,2021-08-27 00:00:00,MKR/USDT,3586.00000000,3792.00000000,3540.00000000,3752.00000000,1836.96266000,6757403.04897510,20736
1629936000000,2021-08-26 00:00:00,MKR/USDT,3701.36000000,3742.06000000,3440.00000000,3586.00000000,2030.22763000,7254525.96434710,19668
1629849600000,2021-08-25 00:00:00,MKR/USDT,3629.22000000,3751.73000000,3493.69000000,3700.68000000,1970.00690000,7170900.05527480,22110
1629763200000,2021-08-24 00:00:00,MKR/USDT,3877.60000000,3906.60000000,3592.67000000,3628.65000000,2973.39595000,11241988.99508250,32996
1629676800000,2021-08-23 00:00:00,MKR/USDT,3802.81000000,4015.47000000,3788.42000000,3879.05000000,2346.72935000,9223353.97052220,36507
1629590400000,2021-08-22 00:00:00,MKR/USDT,3870.62000000,3887.54000000,3692.73000000,3806.04000000,1681.27219000,6393197.93691330,21985
1629504000000,2021-08-21 00:00:00,MKR/USDT,3816.54000000,3983.17000000,3694.59000000,3870.29000000,4765.03238000,18471032.98203420,73300
1629417600000,2021-08-20 00:00:00,MKR/USDT,3748.40000000,3857.66000000,3676.00000000,3815.06000000,2430.96412000,9155603.47579340,33128
1629331200000,2021-08-19 00:00:00,MKR/USDT,3515.39000000,3750.84000000,3442.61000000,3748.40000000,2441.72592000,8769300.97350870,34327
1629244800000,2021-08-18 00:00:00,MKR/USDT,3448.48000000,3638.57000000,3370.00000000,3513.01000000,2425.95649000,8505756.15514630,31918
1629158400000,2021-08-17 00:00:00,MKR/USDT,3572.37000000,3781.89000000,3427.56000000,3450.90000000,2799.57578000,10100638.99873460,34922
1629072000000,2021-08-16 00:00:00,MKR/USDT,3802.37000000,3891.22000000,3562.50000000,3575.25000000,2933.69597000,11028254.50741860,40328
1628985600000,2021-08-15 00:00:00,MKR/USDT,3865.37000000,3883.53000000,3612.81000000,3802.37000000,2659.03343000,9905308.02078230,31412
1628899200000,2021-08-14 00:00:00,MKR/USDT,3711.36000000,3914.46000000,3556.87000000,3871.41000000,4028.48966000,15081306.82801380,47534
1628812800000,2021-08-13 00:00:00,MKR/USDT,3250.11000000,3714.68000000,3234.43000000,3711.02000000,2911.78338000,10374576.96917430,40307
1628726400000,2021-08-12 00:00:00,MKR/USDT,3365.33000000,3425.99000000,3163.15000000,3250.89000000,2879.44186000,9501856.37190820,30077
1628640000000,2021-08-11 00:00:00,MKR/USDT,3393.36000000,3528.62000000,3328.88000000,3368.46000000,2836.62709000,9786266.26961380,35272
1628553600000,2021-08-10 00:00:00,MKR/USDT,3362.03000000,3465.42000000,3263.15000000,3391.81000000,3491.49900000,11766580.48207220,37143
1628467200000,2021-08-09 00:00:00,MKR/USDT,3232.30000000,3382.50000000,3081.26000000,3361.99000000,2128.50311000,6962165.81281440,25552
1628380800000,2021-08-08 00:00:00,MKR/USDT,3408.76000000,3449.99000000,3148.61000000,3232.57000000,1935.18635000,6416428.42178420,22608
1628294400000,2021-08-07 00:00:00,MKR/USDT,3258.16000000,3477.56000000,3223.08000000,3408.77000000,3567.79692000,11932426.81959330,36253
1628208000000,2021-08-06 00:00:00,MKR/USDT,3291.45000000,3373.23000000,3110.78000000,3250.85000000,4311.97315000,13965151.04575480,39739
1628121600000,2021-08-05 00:00:00,MKR/USDT,2968.44000000,3300.00000000,2791.36000000,3290.54000000,5489.98302000,16767664.27267850,46911
1628035200000,2021-08-04 00:00:00,MKR/USDT,2790.19000000,2995.36000000,2741.21000000,2967.22000000,2567.75764000,7398000.85546510,21196
1627948800000,2021-08-03 00:00:00,MKR/USDT,2918.10000000,2948.19000000,2738.60000000,2787.34000000,1584.62518000,4445720.88602080,15760
1627862400000,2021-08-02 00:00:00,MKR/USDT,2896.27000000,3028.54000000,2836.30000000,2917.36000000,1754.99656000,5168412.09913240,16760
1627776000000,2021-08-01 00:00:00,MKR/USDT,2980.75000000,3090.36000000,2881.50000000,2895.92000000,1865.93022000,5602353.16174070,20192
1627689600000,2021-07-31 00:00:00,MKR/USDT,2912.66000000,3012.34000000,2855.36000000,2977.72000000,1900.06599000,5560931.87569080,18692
1627603200000,2021-07-30 00:00:00,MKR/USDT,2896.42000000,2950.05000000,2766.32000000,2911.59000000,2244.13972000,6416475.91391170,18127
1627516800000,2021-07-29 00:00:00,MKR/USDT,2655.81000000,2899.50000000,2604.78000000,2898.46000000,2572.65947000,7151420.08120020,25222
1627430400000,2021-07-28 00:00:00,MKR/USDT,2687.25000000,2726.86000000,2614.62000000,2657.35000000,1740.37773000,4661136.25040490,17722
1627344000000,2021-07-27 00:00:00,MKR/USDT,2590.87000000,2723.82000000,2506.51000000,2688.33000000,2287.39669000,6012732.91384090,17055
1627257600000,2021-07-26 00:00:00,MKR/USDT,2567.37000000,2846.32000000,2549.54000000,2595.30000000,4558.68394000,12382040.45065120,36552
1627171200000,2021-07-25 00:00:00,MKR/USDT,2577.03000000,2594.95000000,2459.06000000,2570.69000000,1825.43933000,4603388.96918050,13102
1627084800000,2021-07-24 00:00:00,MKR/USDT,2514.69000000,2611.38000000,2490.90000000,2577.23000000,1932.33243000,4917017.96688650,14469
1626998400000,2021-07-23 00:00:00,MKR/USDT,2438.09000000,2536.65000000,2398.00000000,2517.10000000,2757.31108000,6813388.20562760,17757
1626912000000,2021-07-22 00:00:00,MKR/USDT,2441.65000000,2476.99000000,2377.45000000,2435.13000000,2389.62640000,5811544.70295100,15806
1626825600000,2021-07-21 00:00:00,MKR/USDT,2185.31000000,2487.10000000,2152.68000000,2440.90000000,3842.12342000,9128327.36076600,21206
1626739200000,2021-07-20 00:00:00,MKR/USDT,2295.67000000,2327.99000000,2110.83000000,2186.19000000,2671.75810000,5838478.16009820,16738
1626652800000,2021-07-19 00:00:00,MKR/USDT,2468.89000000,2479.41000000,2271.60000000,2293.82000000,2288.30631000,5420326.19386070,16407
1626566400000,2021-07-18 00:00:00,MKR/USDT,2425.92000000,2546.07000000,2403.80000000,2468.06000000,1781.73962000,4415763.16953880,12223
1626480000000,2021-07-17 00:00:00,MKR/USDT,2419.17000000,2464.73000000,2378.92000000,2422.94000000,1893.50341000,4585014.54692500,11572
1626393600000,2021-07-16 00:00:00,MKR/USDT,2569.00000000,2613.28000000,2406.25000000,2419.60000000,2641.45583000,6570616.79258110,20588
1626307200000,2021-07-15 00:00:00,MKR/USDT,2515.79000000,2630.14000000,2450.16000000,2566.89000000,6136.29650000,15509470.17355840,33245
1626220800000,2021-07-14 00:00:00,MKR/USDT,2524.43000000,2579.94000000,2400.00000000,2514.06000000,2279.81282000,5681257.57613940,15020
1626134400000,2021-07-13 00:00:00,MKR/USDT,2600.00000000,2644.66000000,2502.29000000,2523.54000000,1938.11881000,4985742.25774380,12917
1626048000000,2021-07-12 00:00:00,MKR/USDT,2672.27000000,2737.27000000,2569.19000000,2602.98000000,2498.09139000,6618632.09298590,16368
1625961600000,2021-07-11 00:00:00,MKR/USDT,2677.26000000,2719.48000000,2613.24000000,2667.90000000,1687.41005000,4518514.10728170,12937
1625875200000,2021-07-10 00:00:00,MKR/USDT,2705.69000000,2776.84000000,2604.04000000,2674.71000000,1718.71633000,4596890.80349130,12016
1625788800000,2021-07-09 00:00:00,MKR/USDT,2654.52000000,2820.38000000,2555.99000000,2707.02000000,3346.47904000,9000718.09513810,22603
1625702400000,2021-07-08 00:00:00,MKR/USDT,2861.68000000,2867.98000000,2593.60000000,2654.67000000,4412.17829000,11872610.36868010,28797
1625616000000,2021-07-07 00:00:00,MKR/USDT,2745.79000000,2939.50000000,2732.62000000,2862.71000000,5671.33298000,16217094.47699650,36837
1625529600000,2021-07-06 00:00:00,MKR/USDT,2749.14000000,3105.58000000,2725.29000000,2745.10000000,10228.11236000,29791816.01340890,66776
1625443200000,2021-07-05 00:00:00,MKR/USDT,2797.46000000,2823.68000000,2632.09000000,2745.11000000,4770.22225000,13045627.21263610,32982
1625356800000,2021-07-04 00:00:00,MKR/USDT,2639.57000000,2906.30000000,2572.43000000,2803.29000000,4862.72385000,13531698.59141440,35016
1625270400000,2021-07-03 00:00:00,MKR/USDT,2581.57000000,2691.32000000,2520.10000000,2639.23000000,3313.22278000,8723145.77253550,22055
1625184000000,2021-07-02 00:00:00,MKR/USDT,2501.55000000,2594.02000000,2410.00000000,2583.55000000,4101.03508000,10216285.50632150,29564
1625097600000,2021-07-01 00:00:00,MKR/USDT,2680.61000000,2860.74000000,2480.02000000,2503.33000000,12350.62027000,32784304.04133730,83733
1625011200000,2021-06-30 00:00:00,MKR/USDT,2425.01000000,2683.60000000,2268.02000000,2680.61000000,5154.07702000,12428880.34339890,33707
1624924800000,2021-06-29 00:00:00,MKR/USDT,2215.62000000,2495.98000000,2205.27000000,2428.15000000,5737.14483000,13628038.36659790,33379
1624838400000,2021-06-28 00:00:00,MKR/USDT,2136.94000000,2291.76000000,2083.69000000,2215.17000000,5328.91309000,11616219.36288080,31367
1624752000000,2021-06-27 00:00:00,MKR/USDT,2009.34000000,2137.58000000,1956.34000000,2128.59000000,3600.99558000,7321965.44856480,21004
1624665600000,2021-06-26 00:00:00,MKR/USDT,1965.76000000,2044.10000000,1895.14000000,2007.19000000,5288.12572000,10410581.16575720,31592
1624579200000,2021-06-25 00:00:00,MKR/USDT,2238.01000000,2274.52000000,1957.81000000,1965.75000000,5823.00802000,12139053.18594380,31363
1624492800000,2021-06-24 00:00:00,MKR/USDT,2314.69000000,2330.86000000,2064.27000000,2236.38000000,7408.19188000,16262894.30237180,41385
1624406400000,2021-06-23 00:00:00,MKR/USDT,2272.55000000,2479.33000000,2214.05000000,2313.71000000,5699.58724000,13447824.75785260,37335
1624320000000,2021-06-22 00:00:00,MKR/USDT,2097.66000000,2441.00000000,1921.48000000,2269.83000000,10300.02225000,22237510.04568240,64710
1624233600000,2021-06-21 00:00:00,MKR/USDT,2702.84000000,2729.02000000,2071.14000000,2095.97000000,5809.30429000,13585870.04581280,38674
1624147200000,2021-06-20 00:00:00,MKR/USDT,2579.93000000,2747.48000000,2441.40000000,2701.40000000,2365.74998000,6150581.77025500,17529
1624060800000,2021-06-19 00:00:00,MKR/USDT,2689.32000000,2714.26000000,2575.40000000,2582.32000000,2197.97868000,5835902.74623230,29946
1623974400000,2021-06-18 00:00:00,MKR/USDT,2909.00000000,2910.85000000,2570.08000000,2689.10000000,3476.03215000,9569667.55474720,38038
1623888000000,2021-06-17 00:00:00,MKR/USDT,2947.86000000,3067.65000000,2848.51000000,2910.89000000,1978.52566000,5839397.37313320,15448
1623801600000,2021-06-16 00:00:00,MKR/USDT,3150.51000000,3151.27000000,2921.75000000,2946.56000000,2234.75446000,6794207.38140370,18451
1623715200000,2021-06-15 00:00:00,MKR/USDT,3202.11000000,3279.00000000,3100.99000000,3152.03000000,1881.16526000,6016584.39357940,16987
1623628800000,2021-06-14 00:00:00,MKR/USDT,3146.80000000,3265.95000000,3086.01000000,3197.58000000,2119.23111000,6725730.69939670,19515
1623542400000,2021-06-13 00:00:00,MKR/USDT,2936.23000000,3189.32000000,2865.24000000,3142.80000000,2095.45243000,6294580.23468260,18847
1623456000000,2021-06-12 00:00:00,MKR/USDT,2926.30000000,3058.00000000,2773.73000000,2935.77000000,2531.24663000,7397200.76565540,20815
1623369600000,2021-06-11 00:00:00,MKR/USDT,3112.51000000,3149.62000000,2876.23000000,2923.80000000,2304.65847000,6971675.58560650,18788
