https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CVC,Volume USDT,tradecount
1632960000000,2021-09-30 00:00:00,CVC/USDT,0.39640000,0.39690000,0.39260000,0.39610000,183623.00000000,72379.37260000,330
1632873600000,2021-09-29 00:00:00,CVC/USDT,0.39280000,0.41450000,0.38770000,0.39650000,11664053.00000000,4660997.38810000,16890
1632787200000,2021-09-28 00:00:00,CVC/USDT,0.41470000,0.42910000,0.39120000,0.39350000,12687095.00000000,5178333.67640000,17844
1632700800000,2021-09-27 00:00:00,CVC/USDT,0.43440000,0.44960000,0.41330000,0.41470000,14913610.00000000,6460003.30400000,21646
1632614400000,2021-09-26 00:00:00,CVC/USDT,0.45610000,0.45630000,0.40520000,0.43490000,18026588.00000000,7792026.05770000,24103
1632528000000,2021-09-25 00:00:00,CVC/USDT,0.48000000,0.49720000,0.44450000,0.45630000,22202080.00000000,10283987.49740000,32334
1632441600000,2021-09-24 00:00:00,CVC/USDT,0.53040000,0.54000000,0.43590000,0.48030000,56509977.00000000,27055576.70360000,86516
1632355200000,2021-09-23 00:00:00,CVC/USDT,0.42960000,0.53960000,0.41130000,0.53110000,82811710.00000000,40770050.87920000,146956
1632268800000,2021-09-22 00:00:00,CVC/USDT,0.38170000,0.43260000,0.37180000,0.42970000,26767287.00000000,10905185.71280000,37295
1632182400000,2021-09-21 00:00:00,CVC/USDT,0.42000000,0.43260000,0.37260000,0.38130000,27258586.00000000,11089546.33060000,36504
1632096000000,2021-09-20 00:00:00,CVC/USDT,0.49980000,0.50550000,0.40000000,0.42020000,33380480.00000000,14887167.06730000,48633
1632009600000,2021-09-19 00:00:00,CVC/USDT,0.53700000,0.53770000,0.47870000,0.49990000,23448939.00000000,11848709.24920000,32636
1631923200000,2021-09-18 00:00:00,CVC/USDT,0.55030000,0.60000000,0.52710000,0.53660000,22132271.00000000,11969035.19770000,33431
1631836800000,2021-09-17 00:00:00,CVC/USDT,0.53650000,0.60500000,0.52100000,0.54980000,69925977.00000000,38959023.49780000,113847
1631750400000,2021-09-16 00:00:00,CVC/USDT,0.53140000,0.55390000,0.50860000,0.53620000,45475182.00000000,24133908.88700000,65118
1631664000000,2021-09-15 00:00:00,CVC/USDT,0.50530000,0.53950000,0.49640000,0.53130000,23600217.00000000,12157125.44760000,34859
1631577600000,2021-09-14 00:00:00,CVC/USDT,0.49270000,0.52100000,0.48760000,0.50560000,26024795.00000000,13043218.41480000,37375
1631491200000,2021-09-13 00:00:00,CVC/USDT,0.51940000,0.57490000,0.45700000,0.49270000,65905475.00000000,33606503.13060000,99548
1631404800000,2021-09-12 00:00:00,CVC/USDT,0.52580000,0.53240000,0.49610000,0.51930000,23056599.00000000,11859002.93920000,37152
1631318400000,2021-09-11 00:00:00,CVC/USDT,0.52770000,0.55400000,0.51740000,0.52580000,23172182.00000000,12385510.01720000,40401
1631232000000,2021-09-10 00:00:00,CVC/USDT,0.58070000,0.58750000,0.48890000,0.52780000,37419142.00000000,20352045.93700000,62532
1631145600000,2021-09-09 00:00:00,CVC/USDT,0.53430000,0.64860000,0.51970000,0.58130000,92396656.00000000,54851748.43810000,182541
1631059200000,2021-09-08 00:00:00,CVC/USDT,0.50890000,0.54800000,0.46010000,0.53360000,73156006.00000000,37007171.13950000,122493
1630972800000,2021-09-07 00:00:00,CVC/USDT,0.63730000,0.68490000,0.41190000,0.50890000,125884753.00000000,73629046.75530000,216997
1630886400000,2021-09-06 00:00:00,CVC/USDT,0.62570000,0.65920000,0.58330000,0.63700000,142290747.00000000,89240623.49150000,281707
1630800000000,2021-09-05 00:00:00,CVC/USDT,0.94430000,0.98000000,0.61030000,0.62570000,268846462.40000000,197560638.96996100,536129
1630713600000,2021-09-04 00:00:00,CVC/USDT,0.39400000,0.97340000,0.39160000,0.94430000,493466456.50000000,315366870.44936100,1015980
1630627200000,2021-09-03 00:00:00,CVC/USDT,0.35720000,0.40200000,0.34650000,0.39390000,48334800.80000000,18318029.22517300,75187
1630540800000,2021-09-02 00:00:00,CVC/USDT,0.35200000,0.36720000,0.34690000,0.35720000,17835500.00000000,6371694.24998000,30190
1630454400000,2021-09-01 00:00:00,CVC/USDT,0.33980000,0.35500000,0.33250000,0.35230000,13780497.00000000,4751258.51170000,21966
1630368000000,2021-08-31 00:00:00,CVC/USDT,0.33400000,0.36350000,0.31970000,0.34020000,24612648.00000000,8456803.30270000,39378
1630281600000,2021-08-30 00:00:00,CVC/USDT,0.35290000,0.35340000,0.32990000,0.33430000,15466084.00000000,5237164.32930000,23663
1630195200000,2021-08-29 00:00:00,CVC/USDT,0.34620000,0.36500000,0.32670000,0.35330000,22924980.00000000,7880179.20903100,41509
1630108800000,2021-08-28 00:00:00,CVC/USDT,0.34050000,0.35200000,0.33660000,0.34630000,15702578.10000000,5389468.22375600,27121
1630022400000,2021-08-27 00:00:00,CVC/USDT,0.32160000,0.34180000,0.30260000,0.34000000,23188437.80000000,7469654.98614000,39039
1629936000000,2021-08-26 00:00:00,CVC/USDT,0.35630000,0.35938000,0.31537000,0.32160000,14280841.60000000,4733856.23968700,24939
1629849600000,2021-08-25 00:00:00,CVC/USDT,0.34679000,0.37500000,0.32753000,0.35638000,19560457.60000000,6797701.55312300,32039
1629763200000,2021-08-24 00:00:00,CVC/USDT,0.37492000,0.38317000,0.32986000,0.34630000,28257451.50000000,10210269.97352000,45384
1629676800000,2021-08-23 00:00:00,CVC/USDT,0.36460000,0.37990000,0.35452000,0.37526000,38330637.90000000,14123216.71195100,56319
1629590400000,2021-08-22 00:00:00,CVC/USDT,0.33892000,0.37387000,0.33148000,0.36504000,72265771.00000000,25807263.04483900,90126
1629504000000,2021-08-21 00:00:00,CVC/USDT,0.33286000,0.34928000,0.32447000,0.33891000,27629107.30000000,9363973.43874700,52399
1629417600000,2021-08-20 00:00:00,CVC/USDT,0.32514000,0.33789000,0.32002000,0.33269000,25408400.10000000,8322796.36872100,33298
1629331200000,2021-08-19 00:00:00,CVC/USDT,0.30509000,0.32820000,0.29284000,0.32514000,32370991.10000000,10159879.37683300,38630
1629244800000,2021-08-18 00:00:00,CVC/USDT,0.31332000,0.32931000,0.28872000,0.30499000,28381127.90000000,8693726.09417000,40216
1629158400000,2021-08-17 00:00:00,CVC/USDT,0.33807000,0.35199000,0.30800000,0.31310000,29497633.90000000,9807209.28839600,44640
1629072000000,2021-08-16 00:00:00,CVC/USDT,0.34166000,0.35691000,0.32746000,0.33827000,23045444.90000000,7980450.32894400,37279
1628985600000,2021-08-15 00:00:00,CVC/USDT,0.33915000,0.34380000,0.32439000,0.34208000,12537238.20000000,4173757.39042000,21776
1628899200000,2021-08-14 00:00:00,CVC/USDT,0.34069000,0.34096000,0.32477000,0.33793000,13341071.80000000,4441518.78679600,20724
1628812800000,2021-08-13 00:00:00,CVC/USDT,0.31238000,0.34380000,0.31238000,0.34094000,18349731.30000000,6084264.06899800,31465
1628726400000,2021-08-12 00:00:00,CVC/USDT,0.32635000,0.34000000,0.29676000,0.31268000,24907832.90000000,7865920.37478900,43533
1628640000000,2021-08-11 00:00:00,CVC/USDT,0.31184000,0.36039000,0.30647000,0.32596000,83690207.60000000,28171087.87382200,117387
1628553600000,2021-08-10 00:00:00,CVC/USDT,0.29635000,0.32126000,0.29312000,0.31177000,26020830.10000000,8066154.78981900,36411
1628467200000,2021-08-09 00:00:00,CVC/USDT,0.28702000,0.29961000,0.26982000,0.29669000,12183486.60000000,3483643.71100400,16410
1628380800000,2021-08-08 00:00:00,CVC/USDT,0.30579000,0.30579000,0.27767000,0.28703000,15142352.40000000,4445238.29169900,23287
1628294400000,2021-08-07 00:00:00,CVC/USDT,0.29647000,0.30819000,0.28920000,0.30505000,16203628.80000000,4831270.40353800,21916
1628208000000,2021-08-06 00:00:00,CVC/USDT,0.29418000,0.29896000,0.27854000,0.29624000,14575777.90000000,4195486.66389600,23543
1628121600000,2021-08-05 00:00:00,CVC/USDT,0.27686000,0.29440000,0.26577000,0.29385000,20813827.10000000,5809844.45010500,27382
1628035200000,2021-08-04 00:00:00,CVC/USDT,0.26699000,0.28000000,0.25649000,0.27710000,22295215.70000000,5949690.46921600,24757
1627948800000,2021-08-03 00:00:00,CVC/USDT,0.27052000,0.27326000,0.25437000,0.26879000,8473358.40000000,2207437.83915700,11502
1627862400000,2021-08-02 00:00:00,CVC/USDT,0.26724000,0.29300000,0.25799000,0.27070000,19108724.50000000,5147137.55934400,24058
1627776000000,2021-08-01 00:00:00,CVC/USDT,0.28743000,0.28834000,0.26190000,0.26769000,11613358.10000000,3208510.32866300,17782
1627689600000,2021-07-31 00:00:00,CVC/USDT,0.27596000,0.30500000,0.27231000,0.28726000,44564051.40000000,12688441.99332800,51667
1627603200000,2021-07-30 00:00:00,CVC/USDT,0.27491000,0.27690000,0.25488000,0.27597000,16632319.70000000,4421495.90859000,24661
1627516800000,2021-07-29 00:00:00,CVC/USDT,0.26455000,0.29080000,0.25345000,0.27499000,59031249.90000000,15856958.17721600,69349
1627430400000,2021-07-28 00:00:00,CVC/USDT,0.26158000,0.28343000,0.25274000,0.26454000,95268870.40000000,25342734.83309000,89810
1627344000000,2021-07-27 00:00:00,CVC/USDT,0.22232000,0.32254000,0.22220000,0.26190000,182970362.30000000,53214062.30362100,307334
1627257600000,2021-07-26 00:00:00,CVC/USDT,0.22020000,0.24118000,0.21710000,0.22241000,26538098.50000000,6058965.86470400,34639
1627171200000,2021-07-25 00:00:00,CVC/USDT,0.21559000,0.22300000,0.20797000,0.22010000,6964566.60000000,1488972.10922000,10137
1627084800000,2021-07-24 00:00:00,CVC/USDT,0.21365000,0.22319000,0.20941000,0.21554000,12441626.40000000,2686617.46772900,17532
1626998400000,2021-07-23 00:00:00,CVC/USDT,0.20695000,0.23000000,0.20162000,0.21365000,17102217.20000000,3663328.64500600,23091
1626912000000,2021-07-22 00:00:00,CVC/USDT,0.19729000,0.20747000,0.19283000,0.20694000,7730057.10000000,1550716.49553800,11199
1626825600000,2021-07-21 00:00:00,CVC/USDT,0.18082000,0.19862000,0.17501000,0.19711000,10015296.90000000,1891013.89602500,12741
1626739200000,2021-07-20 00:00:00,CVC/USDT,0.19811000,0.20341000,0.17376000,0.18122000,13330413.30000000,2432402.40055100,17291
1626652800000,2021-07-19 00:00:00,CVC/USDT,0.21070000,0.21143000,0.19106000,0.19812000,6789532.90000000,1343122.44340200,9836
1626566400000,2021-07-18 00:00:00,CVC/USDT,0.21011000,0.22355000,0.20346000,0.21077000,9226511.60000000,1971439.23656300,15633
1626480000000,2021-07-17 00:00:00,CVC/USDT,0.20941000,0.21699000,0.20040000,0.21049000,10541061.80000000,2185702.07245600,14425
1626393600000,2021-07-16 00:00:00,CVC/USDT,0.22194000,0.22511000,0.20737000,0.20940000,8122637.20000000,1747793.17911000,13119
1626307200000,2021-07-15 00:00:00,CVC/USDT,0.23218000,0.23453000,0.21617000,0.22171000,9736160.90000000,2178494.07855900,18151
1626220800000,2021-07-14 00:00:00,CVC/USDT,0.23491000,0.23555000,0.21114000,0.23236000,8733325.30000000,1948041.83054700,16744
1626134400000,2021-07-13 00:00:00,CVC/USDT,0.23887000,0.24640000,0.22715000,0.23491000,9679441.20000000,2284478.23395400,16825
1626048000000,2021-07-12 00:00:00,CVC/USDT,0.24627000,0.24627000,0.23126000,0.23923000,6880013.70000000,1635085.52547000,14766
1625961600000,2021-07-11 00:00:00,CVC/USDT,0.24125000,0.24798000,0.23156000,0.24624000,9863982.90000000,2370560.27765300,15869
1625875200000,2021-07-10 00:00:00,CVC/USDT,0.25112000,0.25486000,0.23321000,0.24142000,7550325.20000000,1835697.76103300,12848
1625788800000,2021-07-09 00:00:00,CVC/USDT,0.24336000,0.25241000,0.22980000,0.25081000,8719529.50000000,2091431.03969300,15861
1625702400000,2021-07-08 00:00:00,CVC/USDT,0.27544000,0.27558000,0.23633000,0.24346000,13909608.30000000,3505856.15631300,23838
1625616000000,2021-07-07 00:00:00,CVC/USDT,0.28066000,0.29750000,0.26870000,0.27504000,14188965.80000000,3914144.64995800,27451
1625529600000,2021-07-06 00:00:00,CVC/USDT,0.28361000,0.28984000,0.26631000,0.28114000,24619891.70000000,6791542.23334700,37090
1625443200000,2021-07-05 00:00:00,CVC/USDT,0.25051000,0.29950000,0.24770000,0.28421000,73074201.50000000,20345705.38580300,127053
1625356800000,2021-07-04 00:00:00,CVC/USDT,0.24229000,0.26162000,0.23902000,0.25094000,17984913.90000000,4552780.14707500,34915
1625270400000,2021-07-03 00:00:00,CVC/USDT,0.23582000,0.24241000,0.22620000,0.24241000,6959921.30000000,1633113.26878500,14871
1625184000000,2021-07-02 00:00:00,CVC/USDT,0.23785000,0.23854000,0.21788000,0.23550000,8949470.70000000,2030777.89374200,18465
1625097600000,2021-07-01 00:00:00,CVC/USDT,0.24798000,0.24832000,0.22018000,0.23785000,14907193.70000000,3433993.94470000,25803
1625011200000,2021-06-30 00:00:00,CVC/USDT,0.22524000,0.25642000,0.21762000,0.24827000,40438826.30000000,9729633.90983500,74191
1624924800000,2021-06-29 00:00:00,CVC/USDT,0.20402000,0.22702000,0.20328000,0.22584000,16940110.30000000,3694155.83771800,33040
1624838400000,2021-06-28 00:00:00,CVC/USDT,0.19180000,0.21680000,0.18637000,0.20407000,13845277.60000000,2737773.78529500,22636
1624752000000,2021-06-27 00:00:00,CVC/USDT,0.18918000,0.19487000,0.17826000,0.19184000,19259448.80000000,3545491.01603500,28600
1624665600000,2021-06-26 00:00:00,CVC/USDT,0.17718000,0.19000000,0.17025000,0.18871000,13421975.20000000,2424438.68168900,18085
1624579200000,2021-06-25 00:00:00,CVC/USDT,0.19746000,0.20340000,0.17266000,0.17761000,11737637.50000000,2195254.51468800,17487
1624492800000,2021-06-24 00:00:00,CVC/USDT,0.18597000,0.20762000,0.17483000,0.19703000,13774691.50000000,2599300.25342900,18754
1624406400000,2021-06-23 00:00:00,CVC/USDT,0.16984000,0.19503000,0.16119000,0.18635000,19305232.40000000,3576788.74142000,24884
1624320000000,2021-06-22 00:00:00,CVC/USDT,0.17360000,0.18722000,0.14370000,0.16960000,27133236.70000000,4516660.26092200,33428
1624233600000,2021-06-21 00:00:00,CVC/USDT,0.22632000,0.22948000,0.17261000,0.17362000,26871968.80000000,5352060.62447400,32923
1624147200000,2021-06-20 00:00:00,CVC/USDT,0.22699000,0.24130000,0.20699000,0.22636000,17056461.60000000,3811887.13639500,23258
1624060800000,2021-06-19 00:00:00,CVC/USDT,0.23397000,0.24473000,0.22372000,0.22677000,9411939.30000000,2195575.10664000,15984
1623974400000,2021-06-18 00:00:00,CVC/USDT,0.25133000,0.25776000,0.22268000,0.23408000,10963895.60000000,2632346.32348200,18921
