https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SC,Volume USDT,tradecount
1631577600000,2021-09-14 00:00:00,SC/USDT,0.01820000,0.01832000,0.01794000,0.01819000,20768129.00000000,377285.54873000,865
1631491200000,2021-09-13 00:00:00,SC/USDT,0.01959000,0.01961000,0.01701000,0.01820000,627834381.00000000,11397826.06278000,35549
1631404800000,2021-09-12 00:00:00,SC/USDT,0.01856000,0.01997000,0.01810000,0.01962000,721644723.00000000,13862016.05380000,37790
1631318400000,2021-09-11 00:00:00,SC/USDT,0.01816000,0.01897000,0.01793000,0.01854000,486271444.00000000,8991623.57151000,28019
1631232000000,2021-09-10 00:00:00,SC/USDT,0.01997000,0.02050000,0.01767000,0.01817000,807234437.00000000,15318192.52507000,50751
1631145600000,2021-09-09 00:00:00,SC/USDT,0.01921000,0.02050000,0.01905000,0.01998000,939056888.00000000,18577855.59191000,56514
1631059200000,2021-09-08 00:00:00,SC/USDT,0.01931000,0.01987000,0.01688000,0.01918000,1143349909.00000000,21299137.79062400,75843
1630972800000,2021-09-07 00:00:00,SC/USDT,0.02454000,0.02477000,0.01731000,0.01933000,1671812932.00000000,34958775.33301300,129245
1630886400000,2021-09-06 00:00:00,SC/USDT,0.02470000,0.02558000,0.02328000,0.02454000,1338615829.00000000,32804888.97038000,100044
1630800000000,2021-09-05 00:00:00,SC/USDT,0.02403000,0.02764000,0.02320000,0.02471000,2886507778.00000000,72107682.99687100,186620
1630713600000,2021-09-04 00:00:00,SC/USDT,0.02142000,0.02459000,0.02113000,0.02401000,1313225941.00000000,29677639.89237000,76711
1630627200000,2021-09-03 00:00:00,SC/USDT,0.02068000,0.02185000,0.02018000,0.02140000,823413130.00000000,17387601.39497000,51577
1630540800000,2021-09-02 00:00:00,SC/USDT,0.02075000,0.02128000,0.02052000,0.02068000,651426248.00000000,13627896.13959000,36299
1630454400000,2021-09-01 00:00:00,SC/USDT,0.01970000,0.02100000,0.01923000,0.02076000,656139867.00000000,13338216.89474000,39073
1630368000000,2021-08-31 00:00:00,SC/USDT,0.01934000,0.02013000,0.01895000,0.01972000,781650936.00000000,15316997.62426600,39870
1630281600000,2021-08-30 00:00:00,SC/USDT,0.02084000,0.02086000,0.01911000,0.01932000,804535320.00000000,16084951.76798500,40251
1630195200000,2021-08-29 00:00:00,SC/USDT,0.02125000,0.02149000,0.02024000,0.02082000,810901653.00000000,16875709.20432000,44445
1630108800000,2021-08-28 00:00:00,SC/USDT,0.02198000,0.02202000,0.02078000,0.02126000,558867183.00000000,11891967.63657000,33542
1630022400000,2021-08-27 00:00:00,SC/USDT,0.02108000,0.02258000,0.01983000,0.02196000,1019777028.00000000,21312524.31867000,60707
1629936000000,2021-08-26 00:00:00,SC/USDT,0.02298100,0.02322800,0.02069000,0.02105000,1100546639.00000000,23838967.17911900,76303
1629849600000,2021-08-25 00:00:00,SC/USDT,0.02038200,0.02331100,0.01992300,0.02297200,1938513271.00000000,41537028.36839800,108782
1629763200000,2021-08-24 00:00:00,SC/USDT,0.02089500,0.02370000,0.01987200,0.02037000,2815663609.00000000,61783678.91576800,170032
1629676800000,2021-08-23 00:00:00,SC/USDT,0.01934300,0.02124800,0.01907800,0.02089500,1359271073.00000000,27686304.79514600,74320
1629590400000,2021-08-22 00:00:00,SC/USDT,0.01856800,0.01950000,0.01841300,0.01934300,708822490.00000000,13415708.49910600,40322
1629504000000,2021-08-21 00:00:00,SC/USDT,0.01899500,0.01985100,0.01825300,0.01857100,690630577.00000000,12984361.30278500,37297
1629417600000,2021-08-20 00:00:00,SC/USDT,0.01832000,0.01942100,0.01814500,0.01902900,870374439.00000000,16256680.03677000,45233
1629331200000,2021-08-19 00:00:00,SC/USDT,0.01731500,0.01832000,0.01667100,0.01831900,808312871.00000000,13993835.25942200,41089
1629244800000,2021-08-18 00:00:00,SC/USDT,0.01785000,0.01822400,0.01675400,0.01730100,969079251.00000000,17067573.45668000,52557
1629158400000,2021-08-17 00:00:00,SC/USDT,0.01947800,0.01996700,0.01750000,0.01785200,1385893061.00000000,26366735.48701200,75035
1629072000000,2021-08-16 00:00:00,SC/USDT,0.01960200,0.02100000,0.01872600,0.01948200,1380120131.00000000,27278542.99883400,74586
1628985600000,2021-08-15 00:00:00,SC/USDT,0.01945500,0.01980900,0.01818200,0.01961800,653234764.00000000,12375275.52334000,37017
1628899200000,2021-08-14 00:00:00,SC/USDT,0.01910400,0.01968500,0.01830800,0.01944600,818311642.00000000,15531357.09965400,46578
1628812800000,2021-08-13 00:00:00,SC/USDT,0.01766400,0.01914800,0.01752000,0.01910400,709025798.00000000,13125919.82572600,41381
