,date,open,high,low,close,target,naive_pred
1,2018-05-29 00:00:00,11.4853,12.465,10.7,12.1112,-1.0,1.0
2,2018-05-30 00:00:00,12.1113,12.82,11.6206,11.8968,1.0,0.0
3,2018-05-31 00:00:00,11.8712,12.74,11.8116,12.2353,-1.0,1.0
4,2018-06-01 00:00:00,12.2351,12.3889,11.8354,12.2048,1.0,0.0
5,2018-06-02 00:00:00,12.2143,15.6774,12.1039,14.6976,-1.0,1.0
6,2018-06-03 00:00:00,14.6976,15.451,14.2266,14.5304,-1.0,0.0
7,2018-06-04 00:00:00,14.5304,14.8424,13.23,13.462,1.0,1.0
8,2018-06-05 00:00:00,13.4619,14.3,12.71,14.1996,-1.0,1.0
9,2018-06-06 00:00:00,14.1978,14.3,13.3677,13.9072,1.0,0.0
10,2018-06-07 00:00:00,13.91,14.7409,13.6,14.7207,-1.0,1.0
11,2018-06-08 00:00:00,14.7205,14.9,13.55,13.9637,1.0,0.0
12,2018-06-09 00:00:00,13.9794,15.0015,13.92,14.15,-1.0,1.0
13,2018-06-10 00:00:00,14.15,14.1642,10.98,11.7313,1.0,0.0
14,2018-06-11 00:00:00,11.7355,11.93,10.61,11.7719,-1.0,1.0
15,2018-06-12 00:00:00,11.771,11.78,9.68,10.0909,-1.0,0.0
16,2018-06-13 00:00:00,10.0909,10.47,9.12,10.037,1.0,1.0
17,2018-06-14 00:00:00,10.0312,11.7899,9.462,11.2534,-1.0,1.0
18,2018-06-15 00:00:00,11.2534,11.45,10.5107,10.6547,-1.0,0.0
19,2018-06-16 00:00:00,10.6504,10.8667,10.16,10.5254,-1.0,1.0
20,2018-06-17 00:00:00,10.5254,10.75,10.25,10.3388,1.0,1.0
21,2018-06-18 00:00:00,10.3388,10.899,10.0963,10.6791,-1.0,1.0
22,2018-06-19 00:00:00,10.6738,10.9693,10.38,10.658,-1.0,0.0
23,2018-06-20 00:00:00,10.6507,10.7495,10.16,10.412,1.0,1.0
24,2018-06-21 00:00:00,10.4077,10.83,10.2032,10.4099,-1.0,1.0
25,2018-06-22 00:00:00,10.4031,10.432,8.246,8.5198,-1.0,0.0
26,2018-06-23 00:00:00,8.5133,8.747,8.068,8.4464,-1.0,1.0
27,2018-06-24 00:00:00,8.4464,8.5153,6.92,8.06,1.0,1.0
28,2018-06-25 00:00:00,8.0526,8.7,7.668,8.3358,-1.0,1.0
29,2018-06-26 00:00:00,8.3357,8.3999,7.5329,7.576,1.0,0.0
30,2018-06-27 00:00:00,7.5518,8.26,7.3878,7.9942,-1.0,1.0
31,2018-06-28 00:00:00,7.995,8.087,7.2984,7.3675,1.0,0.0
32,2018-06-29 00:00:00,7.364,7.95,7.0804,7.7438,1.0,1.0
33,2018-06-30 00:00:00,7.7402,8.298,7.7346,8.127,-1.0,0.0
34,2018-07-01 00:00:00,8.1298,8.2452,7.761,8.1164,1.0,0.0
35,2018-07-02 00:00:00,8.1136,9.1744,7.88,8.9691,-1.0,1.0
36,2018-07-03 00:00:00,8.9665,9.4363,8.6051,8.8336,1.0,0.0
37,2018-07-04 00:00:00,8.8336,9.3955,8.7092,8.9064,-1.0,1.0
38,2018-07-05 00:00:00,8.9097,9.2219,8.6583,8.8328,-1.0,0.0
39,2018-07-06 00:00:00,8.833,8.8735,8.288,8.6303,1.0,1.0
40,2018-07-07 00:00:00,8.6449,8.8931,8.3517,8.8336,-1.0,1.0
41,2018-07-08 00:00:00,8.8332,8.9801,8.6501,8.6827,-1.0,0.0
42,2018-07-09 00:00:00,8.6826,8.7165,7.5,7.7092,-1.0,1.0
