,date,open,high,low,close,target,naive_pred
1,2017-08-18,302.0,311.79,283.94,293.96,-1.0,1.0
2,2017-08-19,293.96,299.9,278.0,290.91,1.0,1.0
3,2017-08-20,290.91,300.53,282.85,299.1,1.0,1.0
4,2017-08-21,299.1,346.52,294.6,323.29,-1.0,0.0
5,2017-08-22,323.29,330.41,144.21,309.8,1.0,0.0
6,2017-08-23,309.8,324.99,309.41,315.74,1.0,1.0
7,2017-08-24,315.74,328.04,314.01,323.42,1.0,0.0
8,2017-08-25,323.42,338.28,323.42,327.24,1.0,0.0
9,2017-08-26,327.24,335.44,323.41,330.79,1.0,0.0
10,2017-08-27,330.79,348.13,330.73,348.13,-1.0,0.0
11,2017-08-28,348.13,351.0,331.95,346.0,1.0,0.0
12,2017-08-29,346.0,377.6,346.0,374.7,1.0,1.0
13,2017-08-30,374.7,393.71,362.05,385.93,-1.0,0.0
14,2017-08-31,385.93,389.36,377.78,384.79,1.0,0.0
15,2017-09-01,384.79,394.39,383.18,388.46,-1.0,1.0
16,2017-09-02,388.46,394.32,320.08,343.14,-1.0,0.0
17,2017-09-03,343.14,367.28,320.08,341.77,-1.0,1.0
18,2017-09-04,341.77,344.55,267.94,283.77,1.0,1.0
19,2017-09-05,283.77,321.52,235.55,312.09,1.0,1.0
20,2017-09-06,312.09,336.34,312.09,335.0,-1.0,0.0
21,2017-09-07,335.0,342.5,320.17,334.49,-1.0,0.0
22,2017-09-08,334.49,335.1,272.0,302.99,-1.0,1.0
23,2017-09-09,302.99,307.0,281.66,296.74,-1.0,1.0
24,2017-09-10,296.74,302.78,261.03,293.5,1.0,1.0
25,2017-09-11,293.5,304.98,285.21,297.3,-1.0,1.0
26,2017-09-12,297.3,316.46,286.01,293.96,-1.0,0.0
27,2017-09-13,293.96,294.5,257.05,276.91,-1.0,1.0
28,2017-09-14,276.91,283.77,215.0,215.21,1.0,1.0
29,2017-09-15,215.21,270.93,192.0,253.0,-1.0,1.0
30,2017-09-16,253.0,271.81,235.51,249.31,1.0,0.0
31,2017-09-17,249.31,264.39,239.02,257.55,1.0,1.0
32,2017-09-18,257.55,306.22,257.11,294.57,-1.0,0.0
33,2017-09-19,294.57,300.0,277.41,284.0,-1.0,0.0
34,2017-09-20,284.0,294.0,275.91,282.0,-1.0,1.0
35,2017-09-21,282.0,287.0,252.1,257.0,1.0,1.0
36,2017-09-22,257.0,272.97,253.01,264.0,1.0,1.0
37,2017-09-23,264.0,286.23,255.11,285.93,-1.0,0.0
38,2017-09-24,285.93,294.61,275.0,282.0,1.0,0.0
39,2017-09-25,282.0,299.0,281.34,294.42,-1.0,1.0
40,2017-09-26,294.42,296.81,286.24,287.9,1.0,0.0
41,2017-09-27,287.9,313.0,286.13,309.74,-1.0,1.0
42,2017-09-28,309.74,311.81,296.89,302.44,-1.0,0.0
43,2017-09-29,302.44,303.0,274.0,292.22,1.0,1.0
44,2017-09-30,292.22,307.49,292.22,304.36,-1.0,1.0
45,2017-10-01,304.36,306.0,294.0,303.95,-1.0,0.0
46,2017-10-02,303.95,305.0,295.0,296.5,-1.0,1.0
47,2017-10-03,296.5,301.99,283.18,292.48,-1.0,1.0
48,2017-10-04,292.48,297.97,288.0,291.99,1.0,1.0
49,2017-10-05,291.99,297.44,285.53,294.81,1.0,1.0
50,2017-10-06,294.81,310.8,293.78,310.8,1.0,0.0
51,2017-10-07,310.8,318.5,303.6,311.01,1.0,0.0
52,2017-10-08,311.01,317.07,309.0,311.07,-1.0,0.0
53,2017-10-09,311.07,312.13,286.65,297.19,1.0,0.0
54,2017-10-10,297.19,308.56,293.0,298.64,1.0,1.0
55,2017-10-11,298.64,305.5,298.02,304.01,-1.0,0.0
56,2017-10-12,304.01,310.0,302.71,303.99,1.0,0.0
57,2017-10-13,303.99,353.96,297.0,337.96,1.0,1.0
58,2017-10-14,337.96,349.8,335.0,342.0,-1.0,0.0
59,2017-10-15,342.0,348.0,316.17,337.96,-1.0,0.0
60,2017-10-16,337.96,354.0,332.78,335.19,-1.0,1.0
61,2017-10-17,335.19,336.58,312.65,315.19,-1.0,1.0
62,2017-10-18,315.19,318.0,284.68,309.7,-1.0,1.0
63,2017-10-19,309.7,315.0,300.0,308.66,-1.0,1.0
64,2017-10-20,308.66,311.18,302.0,304.51,-1.0,1.0
65,2017-10-21,304.51,305.34,290.0,298.94,-1.0,1.0
66,2017-10-22,298.94,306.99,290.0,293.79,-1.0,1.0
67,2017-10-23,293.79,294.6,272.2,281.09,1.0,1.0
68,2017-10-24,281.09,310.0,275.5,297.38,-1.0,1.0
69,2017-10-25,297.38,300.0,281.0,294.49,1.0,0.0
70,2017-10-26,294.49,299.76,291.03,294.71,1.0,1.0
71,2017-10-27,294.71,298.1,292.03,296.33,-1.0,0.0
72,2017-10-28,296.33,297.0,290.1,291.87,1.0,0.0
73,2017-10-29,291.87,309.4,291.86,305.0,1.0,1.0
74,2017-10-30,305.0,316.0,302.1,307.25,-1.0,0.0
75,2017-10-31,307.25,309.99,304.01,304.9,-1.0,0.0
76,2017-11-01,304.9,305.9,286.34,287.01,-1.0,1.0
77,2017-11-02,287.01,293.0,274.73,283.12,1.0,1.0
78,2017-11-03,283.12,307.0,282.0,304.08,-1.0,1.0
79,2017-11-04,304.08,304.99,292.11,298.04,-1.0,0.0
80,2017-11-05,298.04,302.14,293.13,295.53,1.0,1.0
81,2017-11-06,295.53,305.58,290.11,297.97,-1.0,1.0
82,2017-11-07,297.97,303.52,287.0,291.78,1.0,0.0
83,2017-11-08,291.78,320.0,290.02,303.02,1.0,1.0
84,2017-11-09,303.02,329.0,299.5,317.87,-1.0,0.0
85,2017-11-10,317.87,322.65,285.82,293.5,1.0,0.0
86,2017-11-11,293.5,318.0,291.91,310.02,-1.0,1.0
87,2017-11-12,310.02,316.99,281.01,305.24,1.0,0.0
88,2017-11-13,305.24,318.88,303.7,312.99,1.0,1.0
89,2017-11-14,312.99,337.54,312.94,335.61,-1.0,0.0
90,2017-11-15,335.61,339.0,324.0,331.33,1.0,0.0
91,2017-11-16,331.33,334.75,321.41,331.49,-1.0,1.0
92,2017-11-17,331.49,334.6,323.84,331.23,1.0,0.0
93,2017-11-18,331.23,349.9,326.01,346.66,1.0,1.0
94,2017-11-19,346.66,373.56,343.07,354.15,1.0,0.0
95,2017-11-20,354.15,372.5,353.9,367.42,-1.0,0.0
96,2017-11-21,367.42,375.5,350.02,362.12,1.0,0.0
97,2017-11-22,362.12,384.84,359.0,380.65,1.0,1.0
98,2017-11-23,380.65,425.0,370.02,405.0,1.0,0.0
99,2017-11-24,405.0,475.0,392.8,469.0,-1.0,0.0
100,2017-11-25,469.0,484.47,450.0,461.82,1.0,0.0
101,2017-11-26,461.82,465.0,436.14,462.84,1.0,1.0
102,2017-11-27,462.84,486.94,453.0,472.31,-1.0,0.0
103,2017-11-28,472.31,477.5,453.5,466.17,-1.0,0.0
104,2017-11-29,466.17,515.0,385.0,421.7,1.0,1.0
105,2017-11-30,421.7,460.0,387.01,427.43,1.0,1.0
106,2017-12-01,427.43,465.97,413.74,457.51,1.0,0.0
107,2017-12-02,457.51,471.91,445.0,457.63,1.0,0.0
108,2017-12-03,457.63,485.9,440.11,460.3,1.0,0.0
109,2017-12-04,460.3,470.98,445.0,466.67,-1.0,0.0
110,2017-12-05,466.67,468.67,445.21,452.26,-1.0,0.0
111,2017-12-06,452.26,455.1,400.0,411.01,-1.0,1.0
112,2017-12-07,411.01,427.61,375.01,406.33,1.0,1.0
113,2017-12-08,406.33,456.78,390.0,442.56,1.0,1.0
114,2017-12-09,442.56,488.0,426.4,460.0,-1.0,0.0
115,2017-12-10,460.0,460.05,403.2,427.35,1.0,0.0
116,2017-12-11,427.35,512.0,427.35,508.7,1.0,1.0
117,2017-12-12,508.7,639.27,494.89,620.0,1.0,0.0
118,2017-12-13,620.0,705.69,539.93,683.99,-1.0,0.0
119,2017-12-14,683.99,747.6,630.5,679.76,-1.0,0.0
120,2017-12-15,679.76,689.0,594.6,674.95,1.0,1.0
121,2017-12-16,674.95,712.0,669.22,682.81,1.0,1.0
122,2017-12-17,682.81,728.0,680.33,707.64,1.0,0.0
123,2017-12-18,707.64,798.88,638.0,784.0,1.0,0.0
124,2017-12-18 00:00:00,707.62,798.88,638.0,784.0,1.0,0.0
125,2017-12-19 00:00:00,784.0,864.9,729.01,798.0,-1.0,0.0
126,2017-12-20 00:00:00,798.0,828.0,661.0,790.21,-1.0,0.0
127,2017-12-21 00:00:00,794.62,845.99,705.98,782.41,-1.0,1.0
128,2017-12-22 00:00:00,784.0,796.0,504.99,635.97,1.0,1.0
129,2017-12-23 00:00:00,635.15,714.99,627.97,640.34,1.0,1.0
130,2017-12-24 00:00:00,640.33,667.64,563.49,658.0,1.0,0.0
131,2017-12-25 00:00:00,659.4,744.0,599.99,714.95,1.0,0.0
132,2017-12-26 00:00:00,713.12,750.0,712.56,750.0,-1.0,0.0
133,2017-12-27 00:00:00,750.0,766.05,693.18,739.89,-1.0,0.0
134,2017-12-28 00:00:00,739.89,744.93,645.88,707.89,1.0,1.0
135,2017-12-29 00:00:00,709.5,757.87,703.0,733.99,-1.0,1.0
136,2017-12-30 00:00:00,732.9,735.0,635.82,681.06,1.0,0.0
137,2017-12-31 00:00:00,680.01,740.0,672.86,733.98,1.0,1.0
138,2018-01-01 00:00:00,733.01,763.55,716.8,754.99,1.0,0.0
139,2018-01-02 00:00:00,754.99,899.5,749.06,855.28,1.0,0.0
140,2018-01-03 00:00:00,855.13,950.01,810.0,934.03,1.0,0.0
141,2018-01-04 00:00:00,934.03,1009.72,890.01,940.0,1.0,0.0
142,2018-01-05 00:00:00,940.0,1045.0,930.0,959.3,1.0,0.0
143,2018-01-06 00:00:00,958.0,1017.56,950.0,1004.11,1.0,0.0
144,2018-01-07 00:00:00,1003.71,1125.0,999.9,1123.09,1.0,0.0
145,2018-01-08 00:00:00,1123.09,1239.18,910.0,1133.18,1.0,0.0
146,2018-01-09 00:00:00,1133.18,1326.5,1104.85,1291.0,-1.0,0.0
147,2018-01-10 00:00:00,1291.0,1440.0,1201.1,1247.0,-1.0,0.0
148,2018-01-11 00:00:00,1249.03,1332.49,1021.0,1138.93,1.0,1.0
149,2018-01-12 00:00:00,1136.45,1288.5,1069.01,1253.87,1.0,1.0
150,2018-01-13 00:00:00,1253.87,1427.01,1252.0,1388.02,-1.0,0.0
151,2018-01-14 00:00:00,1388.1,1391.89,1220.89,1347.0,-1.0,0.0
152,2018-01-15 00:00:00,1347.99,1383.13,1258.12,1271.0,-1.0,1.0
153,2018-01-16 00:00:00,1268.67,1275.01,780.0,1000.0,1.0,1.0
154,2018-01-17 00:00:00,999.99,1075.51,755.0,1000.0,-1.0,1.0
155,2018-01-18 00:00:00,1000.0,1075.2,924.21,994.0,1.0,0.0
156,2018-01-19 00:00:00,993.3,1079.0,941.0,1032.5,1.0,1.0
157,2018-01-20 00:00:00,1032.5,1165.4,1031.0,1152.75,-1.0,0.0
158,2018-01-21 00:00:00,1150.37,1152.69,998.0,1049.0,-1.0,0.0
159,2018-01-22 00:00:00,1049.0,1090.15,908.0,993.0,-1.0,1.0
160,2018-01-23 00:00:00,993.0,1030.0,909.0,980.0,1.0,1.0
161,2018-01-24 00:00:00,981.2,1074.0,953.09,1061.0,-1.0,1.0
162,2018-01-25 00:00:00,1060.34,1115.0,1030.26,1056.52,-1.0,0.0
163,2018-01-26 00:00:00,1055.29,1082.0,986.0,1051.03,1.0,1.0
164,2018-01-27 00:00:00,1051.03,1127.99,1032.2,1118.99,1.0,1.0
165,2018-01-28 00:00:00,1118.99,1277.0,1112.0,1251.96,-1.0,0.0
166,2018-01-29 00:00:00,1251.96,1258.89,1161.65,1177.01,-1.0,0.0
167,2018-01-30 00:00:00,1177.01,1186.85,1051.0,1085.5,1.0,1.0
168,2018-01-31 00:00:00,1084.63,1135.0,1029.0,1124.81,-1.0,1.0
169,2018-02-01 00:00:00,1125.96,1164.99,981.0,1041.94,-1.0,0.0
170,2018-02-02 00:00:00,1041.89,1047.2,783.67,922.3,1.0,1.0
171,2018-02-03 00:00:00,923.67,998.0,851.0,971.0,-1.0,1.0
172,2018-02-04 00:00:00,971.0,975.0,789.0,823.56,-1.0,0.0
173,2018-02-05 00:00:00,821.6,862.47,634.94,697.92,1.0,1.0
174,2018-02-06 00:00:00,697.93,798.0,570.1,779.25,-1.0,1.0
175,2018-02-07 00:00:00,779.99,849.0,714.18,754.0,1.0,0.0
176,2018-02-08 00:00:00,753.19,786.93,751.0,781.66,1.0,1.0
177,2018-02-09 00:00:00,781.66,882.2,781.66,877.0,-1.0,0.0
178,2018-02-10 00:00:00,876.3,911.2,800.0,851.15,-1.0,0.0
179,2018-02-11 00:00:00,851.15,857.0,768.28,808.99,1.0,1.0
180,2018-02-12 00:00:00,808.58,877.56,807.46,866.66,-1.0,1.0
181,2018-02-13 00:00:00,866.39,871.0,820.0,841.57,1.0,0.0
182,2018-02-14 00:00:00,841.57,924.99,841.3,919.09,1.0,1.0
183,2018-02-15 00:00:00,919.09,946.66,895.59,924.55,1.0,0.0
184,2018-02-16 00:00:00,924.55,948.48,901.36,938.67,1.0,0.0
185,2018-02-17 00:00:00,938.6,974.0,933.48,969.99,-1.0,0.0
186,2018-02-18 00:00:00,969.99,978.5,897.0,911.0,1.0,0.0
187,2018-02-19 00:00:00,911.0,956.22,906.04,938.11,-1.0,1.0
188,2018-02-20 00:00:00,939.17,961.0,873.0,882.99,-1.0,0.0
189,2018-02-21 00:00:00,882.99,908.88,812.87,835.89,-1.0,1.0
190,2018-02-22 00:00:00,836.35,871.96,786.6,801.49,1.0,1.0
191,2018-02-23 00:00:00,801.47,885.0,785.99,851.6,-1.0,1.0
192,2018-02-24 00:00:00,851.59,875.0,805.0,833.94,1.0,0.0
193,2018-02-25 00:00:00,833.92,849.5,813.18,841.19,1.0,1.0
194,2018-02-26 00:00:00,841.46,882.0,833.0,867.98,1.0,0.0
195,2018-02-27 00:00:00,867.98,897.49,860.69,870.11,-1.0,0.0
196,2018-02-28 00:00:00,871.84,891.0,850.3,853.5,1.0,0.0
197,2018-03-01 00:00:00,853.5,879.96,848.65,870.63,-1.0,1.0
198,2018-03-02 00:00:00,870.63,876.22,850.0,856.28,-1.0,0.0
199,2018-03-03 00:00:00,856.27,870.78,852.3,856.02,1.0,1.0
200,2018-03-04 00:00:00,856.51,868.0,836.24,866.66,-1.0,1.0
201,2018-03-05 00:00:00,866.61,871.75,847.2,849.84,-1.0,0.0
202,2018-03-06 00:00:00,849.81,853.18,803.01,813.11,-1.0,1.0
203,2018-03-07 00:00:00,813.31,826.2,718.4,749.9,-1.0,1.0
204,2018-03-08 00:00:00,749.02,772.07,684.0,695.46,1.0,1.0
205,2018-03-09 00:00:00,695.48,727.92,640.0,723.71,-1.0,1.0
206,2018-03-10 00:00:00,723.65,745.0,673.06,680.58,1.0,0.0
207,2018-03-11 00:00:00,680.58,735.0,659.15,720.85,-1.0,1.0
208,2018-03-12 00:00:00,721.0,740.5,676.31,697.11,-1.0,0.0
209,2018-03-13 00:00:00,696.52,713.76,680.0,689.94,-1.0,1.0
210,2018-03-14 00:00:00,690.16,703.54,585.0,610.1,-1.0,1.0
211,2018-03-15 00:00:00,610.1,621.12,570.0,608.83,-1.0,1.0
212,2018-03-16 00:00:00,608.83,625.3,584.15,599.05,-1.0,1.0
213,2018-03-17 00:00:00,599.03,609.26,544.0,546.95,-1.0,1.0
214,2018-03-18 00:00:00,547.98,560.0,450.0,537.0,1.0,1.0
215,2018-03-19 00:00:00,537.39,560.0,515.8,556.88,1.0,1.0
216,2018-03-20 00:00:00,556.88,567.87,515.0,557.0,1.0,0.0
217,2018-03-21 00:00:00,557.0,590.52,545.11,559.17,-1.0,0.0
218,2018-03-22 00:00:00,559.15,578.6,516.0,539.92,1.0,0.0
219,2018-03-23 00:00:00,539.78,544.72,506.71,543.03,-1.0,1.0
220,2018-03-24 00:00:00,543.2,545.99,518.63,520.22,1.0,0.0
221,2018-03-25 00:00:00,521.17,536.0,512.0,523.74,-1.0,1.0
222,2018-03-26 00:00:00,523.95,527.67,465.56,485.0,-1.0,0.0
223,2018-03-27 00:00:00,485.0,491.55,446.0,448.5,-1.0,1.0
224,2018-03-28 00:00:00,448.5,466.0,440.14,446.67,-1.0,1.0
225,2018-03-29 00:00:00,446.07,449.43,380.0,384.0,1.0,1.0
226,2018-03-30 00:00:00,383.87,412.04,366.0,392.43,1.0,1.0
227,2018-03-31 00:00:00,392.4,419.4,388.52,393.92,-1.0,0.0
228,2018-04-01 00:00:00,393.93,399.91,356.9,378.58,1.0,0.0
229,2018-04-02 00:00:00,378.58,394.87,375.0,385.05,1.0,1.0
230,2018-04-03 00:00:00,385.0,419.08,380.13,415.01,-1.0,0.0
231,2018-04-04 00:00:00,415.0,416.5,370.0,378.16,1.0,0.0
232,2018-04-05 00:00:00,378.15,387.03,365.61,381.22,-1.0,1.0
233,2018-04-06 00:00:00,381.56,385.91,362.54,368.89,1.0,0.0
234,2018-04-07 00:00:00,368.89,394.75,368.28,384.51,1.0,1.0
235,2018-04-08 00:00:00,384.51,404.05,384.0,400.4,-1.0,0.0
236,2018-04-09 00:00:00,400.4,431.99,387.1,399.44,1.0,0.0
237,2018-04-10 00:00:00,399.25,418.68,391.4,416.07,1.0,1.0
238,2018-04-11 00:00:00,415.53,433.54,410.38,429.52,1.0,0.0
239,2018-04-12 00:00:00,429.9,499.0,412.88,495.67,1.0,0.0
240,2018-04-13 00:00:00,494.3,530.0,480.22,495.11,1.0,0.0
241,2018-04-14 00:00:00,494.69,515.0,485.58,502.68,1.0,0.0
242,2018-04-15 00:00:00,502.68,535.0,502.51,533.88,-1.0,0.0
243,2018-04-16 00:00:00,533.88,538.0,497.31,511.46,-1.0,0.0
244,2018-04-17 00:00:00,512.09,521.2,500.02,502.56,1.0,1.0
245,2018-04-18 00:00:00,502.56,526.99,501.12,526.09,1.0,1.0
246,2018-04-19 00:00:00,526.49,571.61,521.03,568.14,1.0,0.0
247,2018-04-20 00:00:00,568.14,622.17,556.5,617.09,-1.0,0.0
248,2018-04-21 00:00:00,616.8,624.5,570.23,604.87,1.0,0.0
249,2018-04-22 00:00:00,604.87,643.49,589.0,620.92,1.0,1.0
250,2018-04-23 00:00:00,620.67,649.11,618.02,645.09,1.0,0.0
251,2018-04-24 00:00:00,644.58,712.99,643.76,701.58,-1.0,0.0
252,2018-04-25 00:00:00,701.16,703.3,593.83,618.0,1.0,0.0
253,2018-04-26 00:00:00,617.73,666.19,600.0,661.51,-1.0,1.0
254,2018-04-27 00:00:00,661.51,686.82,635.73,643.46,1.0,0.0
255,2018-04-28 00:00:00,643.41,694.9,638.76,682.86,1.0,1.0
256,2018-04-29 00:00:00,683.5,700.49,665.28,690.85,-1.0,0.0
257,2018-04-30 00:00:00,690.85,695.3,662.2,670.78,1.0,0.0
258,2018-05-01 00:00:00,670.78,675.6,627.58,672.0,1.0,1.0
259,2018-05-02 00:00:00,671.99,691.99,663.0,688.56,1.0,0.0
260,2018-05-03 00:00:00,688.55,792.08,685.39,779.0,1.0,0.0
261,2018-05-04 00:00:00,779.0,810.0,756.91,785.99,1.0,0.0
262,2018-05-05 00:00:00,785.8,832.66,781.56,819.5,-1.0,0.0
263,2018-05-06 00:00:00,819.5,839.99,752.49,794.3,-1.0,0.0
264,2018-05-07 00:00:00,794.3,799.14,701.0,752.49,-1.0,1.0
265,2018-05-08 00:00:00,753.0,777.0,720.02,748.99,1.0,1.0
266,2018-05-09 00:00:00,748.99,760.74,710.26,751.75,-1.0,1.0
267,2018-05-10 00:00:00,752.4,769.88,720.0,722.52,-1.0,0.0
268,2018-05-11 00:00:00,722.52,737.23,663.0,676.96,1.0,1.0
269,2018-05-12 00:00:00,676.96,690.2,633.2,684.11,1.0,1.0
270,2018-05-13 00:00:00,684.56,742.0,666.31,729.08,-1.0,0.0
271,2018-05-14 00:00:00,729.08,743.9,686.0,727.49,-1.0,0.0
272,2018-05-15 00:00:00,727.49,740.0,695.0,704.91,1.0,1.0
273,2018-05-16 00:00:00,704.91,712.84,673.52,706.29,-1.0,1.0
274,2018-05-17 00:00:00,706.8,719.25,662.0,667.62,1.0,0.0
275,2018-05-18 00:00:00,667.62,694.9,656.0,692.6,1.0,1.0
276,2018-05-19 00:00:00,693.26,717.8,682.31,697.0,1.0,0.0
277,2018-05-20 00:00:00,697.0,729.88,688.4,716.16,-1.0,0.0
278,2018-05-21 00:00:00,716.16,720.46,688.0,696.7,-1.0,0.0
279,2018-05-22 00:00:00,697.1,699.6,637.32,640.99,-1.0,1.0
280,2018-05-23 00:00:00,640.86,669.0,560.0,577.19,1.0,1.0
281,2018-05-24 00:00:00,577.19,612.1,550.0,602.18,-1.0,1.0
282,2018-05-25 00:00:00,602.08,617.46,568.7,585.55,1.0,0.0
283,2018-05-26 00:00:00,585.56,607.62,578.32,586.0,-1.0,1.0
284,2018-05-27 00:00:00,586.03,592.0,557.43,570.4,-1.0,0.0
285,2018-05-28 00:00:00,570.81,576.2,506.11,511.5,1.0,1.0
286,2018-05-29 00:00:00,511.5,573.43,510.0,567.36,-1.0,1.0
287,2018-05-30 00:00:00,567.09,585.83,541.2,557.19,1.0,0.0
288,2018-05-31 00:00:00,557.87,586.73,552.98,577.81,1.0,1.0
