,date,open,high,low,close,target,naive_pred
1,2019-01-17 00:00:00,0.4895,0.4953,0.4639,0.4756,1.0,1.0
2,2019-01-18 00:00:00,0.4762,0.5112,0.4601,0.4894,-1.0,1.0
3,2019-01-19 00:00:00,0.4908,0.5,0.4673,0.4831,1.0,0.0
4,2019-01-20 00:00:00,0.4803,0.492,0.459,0.4834,1.0,1.0
5,2019-01-21 00:00:00,0.4839,0.5198,0.465,0.4972,1.0,0.0
6,2019-01-22 00:00:00,0.496,0.5656,0.4956,0.5344,-1.0,0.0
7,2019-01-23 00:00:00,0.5342,0.5475,0.4901,0.5046,-1.0,0.0
8,2019-01-24 00:00:00,0.5046,0.5065,0.4518,0.5017,-1.0,1.0
9,2019-01-25 00:00:00,0.5031,0.5157,0.4712,0.4739,-1.0,1.0
10,2019-01-26 00:00:00,0.4736,0.4884,0.4624,0.4661,-1.0,1.0
11,2019-01-27 00:00:00,0.4661,0.4666,0.4229,0.4303,-1.0,1.0
12,2019-01-28 00:00:00,0.431,0.4313,0.3504,0.4116,1.0,1.0
13,2019-01-29 00:00:00,0.4104,0.4638,0.4061,0.4505,-1.0,1.0
14,2019-01-30 00:00:00,0.4505,0.4514,0.413,0.4249,-1.0,0.0
15,2019-01-31 00:00:00,0.425,0.441,0.3811,0.3832,1.0,1.0
16,2019-02-01 00:00:00,0.385,0.43,0.38,0.4147,-1.0,1.0
17,2019-02-02 00:00:00,0.4163,0.433,0.3985,0.4136,-1.0,0.0
18,2019-02-03 00:00:00,0.417,0.417,0.386,0.3963,-1.0,1.0
19,2019-02-04 00:00:00,0.3959,0.4125,0.3867,0.3943,1.0,1.0
20,2019-02-05 00:00:00,0.3926,0.4327,0.3902,0.4224,-1.0,1.0
21,2019-02-06 00:00:00,0.4224,0.4236,0.3915,0.4,1.0,0.0
22,2019-02-07 00:00:00,0.4,0.4065,0.3913,0.4021,1.0,1.0
23,2019-02-08 00:00:00,0.4021,0.45,0.3985,0.4383,1.0,0.0
24,2019-02-09 00:00:00,0.4371,0.4844,0.431,0.4612,-1.0,0.0
25,2019-02-10 00:00:00,0.4648,0.48,0.4325,0.4499,-1.0,0.0
26,2019-02-11 00:00:00,0.4495,0.4515,0.42,0.4289,1.0,1.0
27,2019-02-12 00:00:00,0.4277,0.4374,0.4176,0.4277,1.0,1.0
28,2019-02-13 00:00:00,0.4277,0.4454,0.4183,0.4411,-1.0,0.0
29,2019-02-14 00:00:00,0.4422,0.4442,0.4203,0.4259,1.0,0.0
30,2019-02-15 00:00:00,0.4235,0.45,0.4222,0.4342,1.0,1.0
31,2019-02-16 00:00:00,0.4366,0.4464,0.4251,0.4398,1.0,0.0
32,2019-02-17 00:00:00,0.4386,0.4797,0.4317,0.4604,1.0,0.0
33,2019-02-18 00:00:00,0.4615,0.4823,0.4534,0.471,-1.0,0.0
34,2019-02-19 00:00:00,0.471,0.4789,0.452,0.4598,1.0,0.0
35,2019-02-20 00:00:00,0.4548,0.4748,0.4432,0.4618,-1.0,1.0
36,2019-02-21 00:00:00,0.4617,0.475,0.438,0.4438,1.0,0.0
37,2019-02-22 00:00:00,0.4438,0.465,0.44,0.4479,1.0,1.0
38,2019-02-23 00:00:00,0.448,0.464,0.4437,0.4585,-1.0,0.0
39,2019-02-24 00:00:00,0.4592,0.4644,0.3975,0.405,1.0,0.0
40,2019-02-25 00:00:00,0.4047,0.4749,0.4007,0.4723,-1.0,1.0
41,2019-02-26 00:00:00,0.4722,0.474,0.43,0.4341,-1.0,0.0
42,2019-02-27 00:00:00,0.4335,0.4412,0.4145,0.4274,-1.0,1.0
43,2019-02-28 00:00:00,0.4274,0.45,0.4166,0.4244,1.0,1.0
44,2019-03-01 00:00:00,0.4236,0.4386,0.4203,0.4285,-1.0,1.0
45,2019-03-02 00:00:00,0.4286,0.4372,0.4173,0.4221,-1.0,0.0
46,2019-03-03 00:00:00,0.4232,0.4292,0.4177,0.4205,-1.0,1.0
47,2019-03-04 00:00:00,0.4203,0.4255,0.3929,0.4036,1.0,1.0
48,2019-03-05 00:00:00,0.4029,0.4343,0.4023,0.4291,1.0,1.0
49,2019-03-06 00:00:00,0.4291,0.4385,0.4186,0.4296,1.0,0.0
50,2019-03-07 00:00:00,0.4296,0.4766,0.4256,0.4521,1.0,0.0
51,2019-03-08 00:00:00,0.4521,0.5107,0.4519,0.4611,1.0,0.0
52,2019-03-09 00:00:00,0.4611,0.4824,0.4524,0.4746,1.0,0.0
53,2019-03-10 00:00:00,0.4742,0.546,0.4681,0.4981,-1.0,0.0
54,2019-03-11 00:00:00,0.4982,0.5181,0.4382,0.4629,1.0,0.0
55,2019-03-12 00:00:00,0.4641,0.5079,0.4503,0.4876,-1.0,1.0
56,2019-03-13 00:00:00,0.4872,0.488,0.4671,0.4805,1.0,0.0
57,2019-03-14 00:00:00,0.4814,0.4994,0.4722,0.4871,1.0,1.0
58,2019-03-15 00:00:00,0.4858,0.496,0.4831,0.4858,-1.0,0.0
59,2019-03-16 00:00:00,0.4866,0.496,0.4681,0.4819,-1.0,0.0
60,2019-03-17 00:00:00,0.4805,0.4887,0.4702,0.4785,-1.0,1.0
61,2019-03-18 00:00:00,0.4789,0.4833,0.467,0.4757,1.0,1.0
62,2019-03-19 00:00:00,0.476,0.48,0.4648,0.477,1.0,1.0
63,2019-03-20 00:00:00,0.4796,0.4899,0.4737,0.4807,-1.0,0.0
64,2019-03-21 00:00:00,0.4818,0.4842,0.4342,0.4548,1.0,0.0
65,2019-03-22 00:00:00,0.4551,0.4655,0.447,0.4646,-1.0,1.0
66,2019-03-23 00:00:00,0.4627,0.4644,0.4545,0.4608,-1.0,0.0
67,2019-03-24 00:00:00,0.4606,0.4621,0.4485,0.4531,1.0,1.0
68,2019-03-25 00:00:00,0.4539,0.4949,0.441,0.4734,-1.0,1.0
69,2019-03-26 00:00:00,0.4729,0.485,0.448,0.4605,1.0,0.0
70,2019-03-27 00:00:00,0.4603,0.4997,0.4556,0.4946,1.0,1.0
71,2019-03-28 00:00:00,0.4967,0.5196,0.4846,0.4992,1.0,0.0
72,2019-03-29 00:00:00,0.4984,0.5042,0.4887,0.5008,-1.0,0.0
73,2019-03-30 00:00:00,0.5008,0.5034,0.4858,0.494,1.0,0.0
74,2019-03-31 00:00:00,0.4938,0.541,0.4868,0.5084,1.0,1.0
75,2019-04-01 00:00:00,0.5084,0.563,0.5007,0.554,1.0,0.0
76,2019-04-02 00:00:00,0.5533,0.6,0.5326,0.5811,-1.0,0.0
77,2019-04-03 00:00:00,0.5811,0.6073,0.517,0.562,-1.0,0.0
78,2019-04-04 00:00:00,0.5588,0.5839,0.5195,0.5396,1.0,1.0
79,2019-04-05 00:00:00,0.5409,0.5799,0.539,0.5729,-1.0,1.0
80,2019-04-06 00:00:00,0.5735,0.59,0.5557,0.5691,1.0,0.0
81,2019-04-07 00:00:00,0.5677,0.5918,0.5655,0.5773,-1.0,1.0
82,2019-04-08 00:00:00,0.5776,0.5912,0.537,0.5634,-1.0,0.0
83,2019-04-09 00:00:00,0.5617,0.5637,0.517,0.53,-1.0,1.0
84,2019-04-10 00:00:00,0.53,0.5452,0.51,0.5197,-1.0,1.0
85,2019-04-11 00:00:00,0.5198,0.521,0.453,0.4821,1.0,1.0
86,2019-04-12 00:00:00,0.4821,0.5134,0.4531,0.492,1.0,1.0
87,2019-04-13 00:00:00,0.4932,0.5399,0.4913,0.5358,-1.0,0.0
88,2019-04-14 00:00:00,0.5366,0.5449,0.5073,0.5225,-1.0,0.0
89,2019-04-15 00:00:00,0.5259,0.5268,0.48,0.4883,1.0,1.0
90,2019-04-16 00:00:00,0.4884,0.5176,0.4883,0.4985,1.0,1.0
91,2019-04-17 00:00:00,0.4998,0.5046,0.488,0.4998,1.0,0.0
92,2019-04-18 00:00:00,0.4992,0.5226,0.4974,0.5193,-1.0,0.0
93,2019-04-19 00:00:00,0.5187,0.539,0.5083,0.5095,1.0,0.0
94,2019-04-20 00:00:00,0.5105,0.5287,0.505,0.5118,-1.0,1.0
95,2019-04-21 00:00:00,0.5117,0.5139,0.4752,0.4963,-1.0,0.0
96,2019-04-22 00:00:00,0.4963,0.517,0.4837,0.4957,-1.0,1.0
97,2019-04-23 00:00:00,0.492,0.504,0.4756,0.4756,-1.0,1.0
98,2019-04-24 00:00:00,0.4756,0.48,0.44,0.475,-1.0,1.0
99,2019-04-25 00:00:00,0.4745,0.4997,0.435,0.4503,-1.0,1.0
100,2019-04-26 00:00:00,0.4499,0.4699,0.4264,0.4416,-1.0,1.0
101,2019-04-27 00:00:00,0.4437,0.4698,0.4357,0.443,1.0,1.0
102,2019-04-28 00:00:00,0.4448,0.46,0.4403,0.451,-1.0,1.0
103,2019-04-29 00:00:00,0.451,0.4546,0.424,0.4338,1.0,0.0
104,2019-04-30 00:00:00,0.4334,0.4771,0.432,0.4727,-1.0,1.0
105,2019-05-01 00:00:00,0.475,0.4876,0.4638,0.473,-1.0,0.0
106,2019-05-02 00:00:00,0.4745,0.4757,0.46,0.463,1.0,1.0
107,2019-05-03 00:00:00,0.4643,0.5223,0.4607,0.511,-1.0,1.0
108,2019-05-04 00:00:00,0.5118,0.5151,0.4783,0.4964,1.0,0.0
109,2019-05-05 00:00:00,0.4964,0.5238,0.4902,0.5058,1.0,1.0
110,2019-05-06 00:00:00,0.5058,0.5882,0.4901,0.5745,-1.0,0.0
111,2019-05-07 00:00:00,0.5798,0.6186,0.5409,0.5435,1.0,0.0
