,date,open,high,low,close,target,naive_pred
1,2017-12-15,272.4,314.21,239.99,294.0,-1.0,1.0
2,2017-12-16,294.0,305.0,285.0,293.97,1.0,0.0
3,2017-12-17,293.97,328.8,290.0,311.4,1.0,1.0
4,2017-12-18,311.4,360.96,277.0,352.0,1.0,0.0
5,2017-12-18 00:00:00,311.23,360.96,277.0,352.0,-1.0,0.0
6,2017-12-19 00:00:00,352.0,366.96,303.01,338.48,-1.0,0.0
7,2017-12-20 00:00:00,336.05,357.0,260.0,302.7,-1.0,1.0
8,2017-12-21 00:00:00,303.8,325.16,267.01,302.0,-1.0,1.0
9,2017-12-22 00:00:00,303.0,315.0,177.58,250.99,1.0,1.0
10,2017-12-23 00:00:00,250.99,301.52,214.91,253.44,1.0,1.0
11,2017-12-24 00:00:00,253.44,277.0,220.03,262.9,-1.0,0.0
12,2017-12-25 00:00:00,262.9,277.5,251.4,261.2,1.0,0.0
13,2017-12-26 00:00:00,261.17,282.82,258.0,277.98,-1.0,1.0
14,2017-12-27 00:00:00,277.98,284.34,245.29,262.59,-1.0,0.0
15,2017-12-28 00:00:00,262.61,266.7,222.03,244.68,-1.0,1.0
16,2017-12-29 00:00:00,244.68,261.0,233.97,238.27,-1.0,1.0
17,2017-12-30 00:00:00,238.27,244.0,193.2,206.03,1.0,1.0
18,2017-12-31 00:00:00,206.11,234.37,202.98,223.69,-1.0,1.0
19,2018-01-01 00:00:00,223.69,231.19,212.74,222.61,1.0,0.0
20,2018-01-02 00:00:00,222.62,256.49,222.62,247.33,-1.0,1.0
21,2018-01-03 00:00:00,247.33,253.4,233.56,238.77,-1.0,0.0
22,2018-01-04 00:00:00,238.89,240.0,219.38,233.0,1.0,1.0
23,2018-01-05 00:00:00,233.04,250.99,230.0,240.54,1.0,1.0
24,2018-01-06 00:00:00,240.95,315.0,238.73,275.28,-1.0,0.0
25,2018-01-07 00:00:00,276.24,287.0,262.0,269.01,-1.0,0.0
26,2018-01-08 00:00:00,269.01,271.82,212.74,252.65,-1.0,1.0
27,2018-01-09 00:00:00,252.49,257.64,228.24,244.48,1.0,1.0
28,2018-01-10 00:00:00,244.56,248.99,225.05,247.63,-1.0,1.0
29,2018-01-11 00:00:00,247.63,252.27,195.03,223.77,1.0,0.0
30,2018-01-12 00:00:00,223.76,240.45,213.01,233.11,1.0,1.0
31,2018-01-13 00:00:00,233.11,263.99,232.54,257.98,-1.0,0.0
32,2018-01-14 00:00:00,257.98,271.64,222.0,234.12,-1.0,0.0
33,2018-01-15 00:00:00,234.26,242.31,227.6,229.5,-1.0,1.0
34,2018-01-16 00:00:00,229.5,242.0,135.67,179.28,1.0,1.0
35,2018-01-17 00:00:00,179.28,198.89,136.2,182.44,1.0,1.0
36,2018-01-18 00:00:00,183.45,202.19,170.5,186.14,1.0,0.0
37,2018-01-19 00:00:00,186.21,199.0,176.04,191.42,1.0,0.0
38,2018-01-20 00:00:00,191.44,215.0,190.67,210.4,-1.0,0.0
39,2018-01-21 00:00:00,210.05,210.69,180.0,190.16,-1.0,0.0
40,2018-01-22 00:00:00,190.52,195.0,163.44,178.0,-1.0,1.0
41,2018-01-23 00:00:00,178.0,186.42,163.02,176.98,1.0,1.0
42,2018-01-24 00:00:00,176.94,186.3,171.58,180.89,-1.0,1.0
43,2018-01-25 00:00:00,180.83,186.0,175.58,179.59,-1.0,0.0
44,2018-01-26 00:00:00,179.0,183.06,165.0,177.09,1.0,1.0
45,2018-01-27 00:00:00,175.73,184.0,173.0,182.1,1.0,1.0
46,2018-01-28 00:00:00,182.11,198.0,181.7,196.74,-1.0,0.0
47,2018-01-29 00:00:00,196.74,197.19,180.01,181.5,-1.0,0.0
48,2018-01-30 00:00:00,181.51,181.96,160.59,168.21,-1.0,1.0
49,2018-01-31 00:00:00,168.1,169.31,157.5,165.19,-1.0,1.0
50,2018-02-01 00:00:00,164.83,167.2,132.0,143.69,-1.0,1.0
51,2018-02-02 00:00:00,144.04,147.0,108.52,131.68,1.0,1.0
52,2018-02-03 00:00:00,131.99,166.99,120.06,160.3,-1.0,1.0
53,2018-02-04 00:00:00,160.86,174.75,138.0,147.09,-1.0,0.0
54,2018-02-05 00:00:00,147.29,153.96,116.6,125.17,1.0,1.0
55,2018-02-06 00:00:00,125.17,147.0,106.5,141.0,-1.0,1.0
56,2018-02-07 00:00:00,140.96,157.0,130.01,137.21,1.0,0.0
57,2018-02-08 00:00:00,137.97,143.5,137.2,142.37,1.0,1.0
58,2018-02-09 00:00:00,142.37,164.4,142.37,163.73,-1.0,0.0
59,2018-02-10 00:00:00,163.74,169.0,146.01,154.65,-1.0,0.0
