,date,open,high,low,close,target,naive_pred
1,2019-03-16 00:00:00,52.1,54.89,52.1,53.35,-1.0,0.0
2,2019-03-17 00:00:00,53.56,53.57,51.54,52.36,-1.0,0.0
3,2019-03-18 00:00:00,52.38,53.01,51.27,52.06,1.0,1.0
4,2019-03-19 00:00:00,51.93,54.0,51.61,52.9,1.0,1.0
5,2019-03-20 00:00:00,52.83,54.6,52.41,54.19,-1.0,0.0
6,2019-03-21 00:00:00,54.29,54.29,50.0,52.28,1.0,0.0
7,2019-03-22 00:00:00,52.22,53.25,51.83,52.66,-1.0,1.0
8,2019-03-23 00:00:00,52.9,53.25,51.93,52.67,1.0,0.0
9,2019-03-24 00:00:00,52.56,52.89,52.2,52.64,-1.0,1.0
10,2019-03-25 00:00:00,52.57,52.92,50.0,51.21,1.0,0.0
11,2019-03-26 00:00:00,51.28,52.05,49.76,51.74,1.0,1.0
12,2019-03-27 00:00:00,51.81,53.6,51.67,53.48,-1.0,0.0
13,2019-03-28 00:00:00,53.27,53.35,52.18,52.8,1.0,0.0
14,2019-03-29 00:00:00,52.57,54.15,52.18,53.72,-1.0,1.0
15,2019-03-30 00:00:00,53.58,54.0,53.01,53.53,1.0,0.0
16,2019-03-31 00:00:00,53.5,56.83,50.56,56.07,1.0,1.0
17,2019-04-01 00:00:00,56.01,60.5,55.66,60.13,1.0,0.0
18,2019-04-02 00:00:00,60.05,70.0,58.87,68.94,-1.0,0.0
19,2019-04-03 00:00:00,68.83,72.9,60.01,65.88,-1.0,0.0
20,2019-04-04 00:00:00,65.88,66.77,61.15,63.57,1.0,1.0
21,2019-04-05 00:00:00,63.77,69.08,63.22,69.08,-1.0,1.0
22,2019-04-06 00:00:00,68.93,69.97,66.32,67.82,1.0,0.0
23,2019-04-07 00:00:00,67.87,70.09,67.63,69.34,1.0,1.0
24,2019-04-08 00:00:00,69.35,72.27,67.4,70.47,-1.0,0.0
25,2019-04-09 00:00:00,70.42,70.55,66.82,67.75,1.0,0.0
26,2019-04-10 00:00:00,67.75,72.0,67.49,70.86,-1.0,1.0
27,2019-04-11 00:00:00,70.64,71.17,61.51,65.97,-1.0,0.0
28,2019-04-12 00:00:00,66.1,68.5,64.36,65.73,-1.0,1.0
29,2019-04-13 00:00:00,65.39,67.36,63.07,64.92,1.0,1.0
30,2019-04-14 00:00:00,64.82,67.0,63.81,66.25,-1.0,1.0
31,2019-04-15 00:00:00,66.32,66.82,63.27,63.91,1.0,0.0
32,2019-04-16 00:00:00,63.81,69.66,63.41,68.16,-1.0,1.0
33,2019-04-17 00:00:00,68.16,69.4,66.23,67.01,1.0,0.0
34,2019-04-18 00:00:00,67.02,69.88,67.02,68.74,-1.0,1.0
35,2019-04-19 00:00:00,68.71,69.4,67.03,68.27,1.0,0.0
36,2019-04-20 00:00:00,68.29,69.96,67.12,69.35,-1.0,1.0
37,2019-04-21 00:00:00,69.19,69.99,66.45,68.29,-1.0,0.0
38,2019-04-22 00:00:00,68.18,69.05,67.19,68.17,1.0,1.0
39,2019-04-23 00:00:00,68.22,70.75,67.44,68.29,-1.0,1.0
40,2019-04-24 00:00:00,68.29,70.45,64.36,67.31,-1.0,0.0
41,2019-04-25 00:00:00,67.37,67.48,61.49,61.49,1.0,1.0
42,2019-04-26 00:00:00,61.7,65.42,60.03,62.5,1.0,1.0
43,2019-04-27 00:00:00,62.45,64.58,62.0,63.12,-1.0,0.0
44,2019-04-28 00:00:00,63.0,63.54,61.42,62.07,-1.0,0.0
45,2019-04-29 00:00:00,61.92,62.56,60.11,61.08,1.0,1.0
46,2019-04-30 00:00:00,61.08,62.78,60.69,62.55,1.0,1.0
47,2019-05-01 00:00:00,62.66,65.64,62.66,65.64,-1.0,0.0
48,2019-05-02 00:00:00,65.48,66.5,63.92,65.1,1.0,0.0
49,2019-05-03 00:00:00,65.1,68.58,64.59,67.46,1.0,1.0
50,2019-05-04 00:00:00,67.5,68.97,65.7,68.4,-1.0,0.0
51,2019-05-05 00:00:00,68.5,68.99,65.98,66.52,1.0,0.0
52,2019-05-06 00:00:00,66.71,68.29,64.67,67.5,-1.0,1.0
53,2019-05-07 00:00:00,67.5,71.21,65.83,65.93,1.0,0.0
54,2019-05-08 00:00:00,65.93,68.29,65.12,67.93,-1.0,1.0
55,2019-05-09 00:00:00,68.06,69.19,64.26,65.61,1.0,0.0
56,2019-05-10 00:00:00,65.79,69.33,64.97,68.84,1.0,1.0
57,2019-05-11 00:00:00,68.87,81.72,68.87,77.73,-1.0,0.0
58,2019-05-12 00:00:00,77.5,81.4,71.6,75.66,1.0,0.0
59,2019-05-13 00:00:00,75.45,82.67,74.86,79.53,1.0,1.0
60,2019-05-14 00:00:00,79.51,84.91,72.0,83.46,1.0,0.0
61,2019-05-15 00:00:00,83.46,95.03,82.37,94.0,-1.0,0.0
62,2019-05-16 00:00:00,94.01,97.27,84.51,87.2,-1.0,0.0
63,2019-05-17 00:00:00,87.1,87.79,76.25,82.61,-1.0,1.0
64,2019-05-18 00:00:00,82.61,83.0,78.95,79.75,1.0,1.0
65,2019-05-19 00:00:00,79.55,90.6,79.39,90.09,-1.0,1.0
66,2019-05-20 00:00:00,89.72,90.3,84.0,87.19,1.0,0.0
67,2019-05-21 00:00:00,87.14,92.5,87.06,88.51,-1.0,1.0
68,2019-05-22 00:00:00,88.51,91.27,80.18,83.07,1.0,0.0
69,2019-05-23 00:00:00,83.19,85.34,80.66,84.69,1.0,1.0
70,2019-05-24 00:00:00,84.81,86.93,83.36,85.44,1.0,0.0
71,2019-05-25 00:00:00,85.32,87.31,85.02,86.8,1.0,0.0
72,2019-05-26 00:00:00,86.67,92.39,85.0,91.3,1.0,0.0
73,2019-05-27 00:00:00,91.22,98.84,91.22,97.43,-1.0,0.0
74,2019-05-28 00:00:00,97.31,98.47,95.28,95.93,-1.0,0.0
75,2019-05-29 00:00:00,95.63,95.91,90.0,93.81,-1.0,1.0
76,2019-05-30 00:00:00,93.77,98.99,88.28,91.61,1.0,1.0
77,2019-05-31 00:00:00,91.69,93.66,89.07,93.25,-1.0,1.0
78,2019-06-01 00:00:00,93.25,93.93,91.07,92.96,1.0,0.0
79,2019-06-02 00:00:00,92.82,96.14,92.56,94.77,-1.0,1.0
80,2019-06-03 00:00:00,94.77,96.0,88.83,88.85,-1.0,0.0
81,2019-06-04 00:00:00,88.81,89.0,81.17,83.65,1.0,1.0
82,2019-06-05 00:00:00,83.65,87.0,82.87,84.65,1.0,1.0
83,2019-06-06 00:00:00,84.63,87.14,82.78,86.69,1.0,0.0
84,2019-06-07 00:00:00,86.73,89.52,85.09,88.0,-1.0,0.0
85,2019-06-08 00:00:00,87.64,88.52,85.89,87.32,-1.0,0.0
86,2019-06-09 00:00:00,87.29,87.89,82.07,83.38,1.0,1.0
87,2019-06-10 00:00:00,83.04,87.36,82.29,86.72,-1.0,1.0
88,2019-06-11 00:00:00,86.72,87.5,85.28,86.13,1.0,0.0
89,2019-06-12 00:00:00,86.19,90.14,85.38,90.1,-1.0,1.0
90,2019-06-13 00:00:00,90.1,91.98,89.01,89.26,1.0,0.0
91,2019-06-14 00:00:00,89.35,90.7,87.0,90.29,1.0,1.0
92,2019-06-15 00:00:00,90.52,95.23,89.78,94.72,1.0,0.0
93,2019-06-16 00:00:00,94.85,97.82,93.8,95.99,1.0,0.0
94,2019-06-17 00:00:00,95.99,99.68,95.99,98.71,-1.0,0.0
95,2019-06-18 00:00:00,98.3,98.98,95.03,96.49,1.0,0.0
96,2019-06-19 00:00:00,96.49,102.31,95.81,100.19,1.0,1.0
97,2019-06-20 00:00:00,100.37,109.01,99.73,105.07,1.0,0.0
98,2019-06-21 00:00:00,105.24,110.09,105.24,109.54,1.0,0.0
99,2019-06-22 00:00:00,109.5,119.07,107.57,115.48,1.0,0.0
100,2019-06-23 00:00:00,115.65,121.55,114.21,116.01,1.0,0.0
101,2019-06-24 00:00:00,115.68,119.98,112.64,117.86,-1.0,0.0
102,2019-06-25 00:00:00,117.87,118.39,111.43,112.3,-1.0,0.0
103,2019-06-26 00:00:00,112.33,114.43,99.51,105.0,-1.0,1.0
104,2019-06-27 00:00:00,105.0,106.91,89.31,96.38,1.0,1.0
105,2019-06-28 00:00:00,96.39,103.0,94.28,102.06,-1.0,1.0
106,2019-06-29 00:00:00,102.0,102.09,93.2,99.93,-1.0,0.0
107,2019-06-30 00:00:00,100.27,100.96,87.8,88.71,1.0,1.0
108,2019-07-01 00:00:00,88.74,94.8,84.14,88.96,-1.0,1.0
