,date,open,high,low,close,target,naive_pred
1,2019-03-22 00:00:00,55.37,56.56,54.42,55.07,1.0,1.0
2,2019-03-23 00:00:00,55.06,56.9,54.78,56.9,1.0,1.0
3,2019-03-24 00:00:00,56.8,58.44,55.81,57.21,-1.0,0.0
4,2019-03-25 00:00:00,57.06,57.13,53.78,55.32,-1.0,0.0
5,2019-03-26 00:00:00,55.32,55.5,52.72,54.49,1.0,1.0
6,2019-03-27 00:00:00,54.5,57.35,54.49,56.96,-1.0,1.0
7,2019-03-28 00:00:00,56.8,56.8,55.29,56.18,1.0,0.0
8,2019-03-29 00:00:00,56.15,58.12,55.1,57.14,-1.0,1.0
9,2019-03-30 00:00:00,57.15,57.44,55.6,57.1,1.0,0.0
10,2019-03-31 00:00:00,56.81,59.52,56.73,58.65,1.0,1.0
11,2019-04-01 00:00:00,58.78,63.68,58.13,62.7,1.0,0.0
12,2019-04-02 00:00:00,62.69,70.99,60.56,69.6,1.0,0.0
13,2019-04-03 00:00:00,69.53,77.0,66.0,69.55,-1.0,0.0
14,2019-04-04 00:00:00,69.11,71.37,64.59,66.78,1.0,0.0
15,2019-04-05 00:00:00,66.91,72.62,66.91,72.05,-1.0,1.0
16,2019-04-06 00:00:00,71.62,73.12,69.14,71.23,1.0,0.0
17,2019-04-07 00:00:00,71.38,75.0,70.52,74.37,-1.0,1.0
18,2019-04-08 00:00:00,74.21,76.07,68.85,72.19,-1.0,0.0
19,2019-04-09 00:00:00,72.2,72.2,68.6,70.3,1.0,1.0
20,2019-04-10 00:00:00,70.43,73.79,70.07,71.75,-1.0,1.0
21,2019-04-11 00:00:00,71.85,72.11,63.32,69.61,1.0,0.0
22,2019-04-12 00:00:00,69.59,71.81,67.14,70.94,-1.0,1.0
23,2019-04-13 00:00:00,71.09,71.24,68.3,69.08,1.0,0.0
24,2019-04-14 00:00:00,69.11,70.25,66.95,69.6,-1.0,1.0
25,2019-04-15 00:00:00,69.6,70.28,65.4,67.45,1.0,0.0
26,2019-04-16 00:00:00,67.42,69.48,66.76,68.98,1.0,1.0
27,2019-04-17 00:00:00,68.98,71.47,67.45,70.09,1.0,0.0
28,2019-04-18 00:00:00,70.25,71.75,69.6,70.26,-1.0,0.0
29,2019-04-19 00:00:00,70.26,70.28,68.8,69.23,-1.0,0.0
30,2019-04-20 00:00:00,69.4,69.98,68.34,69.35,-1.0,1.0
31,2019-04-21 00:00:00,69.5,69.6,66.09,67.91,1.0,1.0
32,2019-04-22 00:00:00,68.11,70.17,65.92,68.76,-1.0,1.0
33,2019-04-23 00:00:00,68.95,70.97,66.45,66.45,-1.0,0.0
34,2019-04-24 00:00:00,66.64,67.09,61.87,65.26,-1.0,1.0
35,2019-04-25 00:00:00,65.18,66.19,60.31,61.89,-1.0,1.0
36,2019-04-26 00:00:00,61.93,64.72,59.17,61.88,-1.0,1.0
37,2019-04-27 00:00:00,62.01,62.75,60.19,61.55,-1.0,1.0
38,2019-04-28 00:00:00,61.56,62.57,60.36,60.6,-1.0,1.0
39,2019-04-29 00:00:00,60.42,60.79,57.05,57.89,1.0,1.0
40,2019-04-30 00:00:00,57.89,60.85,57.3,60.66,1.0,1.0
41,2019-05-01 00:00:00,60.47,61.67,59.6,61.06,-1.0,0.0
42,2019-05-02 00:00:00,61.13,61.3,59.55,60.03,1.0,0.0
43,2019-05-03 00:00:00,60.03,63.97,59.87,62.85,-1.0,1.0
44,2019-05-04 00:00:00,62.95,64.27,58.62,60.94,-1.0,0.0
45,2019-05-05 00:00:00,60.9,60.98,58.85,59.59,1.0,1.0
46,2019-05-06 00:00:00,59.73,61.3,58.61,60.07,-1.0,1.0
47,2019-05-07 00:00:00,60.36,61.68,57.31,57.64,1.0,0.0
48,2019-05-08 00:00:00,57.82,58.43,56.72,58.25,-1.0,1.0
49,2019-05-09 00:00:00,58.33,59.09,55.5,56.58,1.0,0.0
50,2019-05-10 00:00:00,56.62,58.03,55.98,57.46,1.0,1.0
51,2019-05-11 00:00:00,57.51,65.7,57.23,63.08,-1.0,0.0
52,2019-05-12 00:00:00,63.19,65.0,58.39,60.67,1.0,0.0
53,2019-05-13 00:00:00,60.67,65.9,59.82,63.58,1.0,1.0
54,2019-05-14 00:00:00,63.48,69.0,62.88,67.51,1.0,0.0
55,2019-05-15 00:00:00,67.51,77.38,67.51,77.0,-1.0,0.0
56,2019-05-16 00:00:00,77.14,82.18,70.89,75.26,-1.0,0.0
57,2019-05-17 00:00:00,74.83,75.91,66.04,73.34,-1.0,1.0
58,2019-05-18 00:00:00,73.45,74.24,70.08,71.91,1.0,1.0
59,2019-05-19 00:00:00,71.89,78.93,71.87,77.6,-1.0,1.0
