file_name,best_parameter
ohlc_Binance_ADAUSDT_d.csv,"{'hidden_dim_lstm_1': 90.0, 'hidden_dim_lstm_2': 40.0, 'hidden_dim_gru': 60.0, 'dropout': 0.3260284733642992, 'optimizer': 'Adam', 'weight_decay': 1.027801833855939e-08, 'adam_lr': 0.008109936378561677, 'batch_size': 112.0, 'windows': 7.0}"
ohlc_Binance_BATUSDT_d.csv,"{'hidden_dim_lstm_1': 80.0, 'hidden_dim_lstm_2': 20.0, 'hidden_dim_gru': 20.0, 'dropout': 0.46205805824575086, 'optimizer': 'Adam', 'weight_decay': 6.806459635720296e-07, 'adam_lr': 0.03927885937708669, 'batch_size': 128.0, 'windows': 7.0}"
ohlc_Binance_BNBUSDT_d.csv,"{'hidden_dim_lstm_1': 40.0, 'hidden_dim_lstm_2': 80.0, 'hidden_dim_gru': 100.0, 'dropout': 0.10581816614692806, 'optimizer': 'MomentumSGD', 'weight_decay': 1.6451235324388579e-06, 'momentum_sgd_lr': 0.011442897563233063, 'batch_size': 128.0, 'windows': 5.0}"
ohlc_Binance_BTCUSDT_d.csv,"{'hidden_dim_lstm_1': 20.0, 'hidden_dim_lstm_2': 30.0, 'hidden_dim_gru': 20.0, 'dropout': 0.15220234358322846, 'optimizer': 'MomentumSGD', 'weight_decay': 3.5364318264363543e-06, 'momentum_sgd_lr': 0.06667536389999593, 'batch_size': 128.0, 'windows': 5.0}"
ohlc_Binance_BTTUSDT_d.csv,"{'hidden_dim_lstm_1': 80.0, 'hidden_dim_lstm_2': 70.0, 'hidden_dim_gru': 80.0, 'dropout': 0.10021159090385756, 'optimizer': 'MomentumSGD', 'weight_decay': 0.00014277075301336847, 'momentum_sgd_lr': 0.03837372821785155, 'batch_size': 96.0, 'windows': 1.0}"
ohlc_Binance_CELRUSDT_d.csv,"{'hidden_dim_lstm_1': 10.0, 'hidden_dim_lstm_2': 100.0, 'hidden_dim_gru': 60.0, 'dropout': 0.31894840796892915, 'optimizer': 'rmsprop', 'weight_decay': 2.1786113854316906e-10, 'batch_size': 96.0, 'windows': 1.0}"
ohlc_Binance_DASHUSDT_d.csv,"{'hidden_dim_lstm_1': 10.0, 'hidden_dim_lstm_2': 60.0, 'hidden_dim_gru': 80.0, 'dropout': 0.34964013173155584, 'optimizer': 'Adam', 'weight_decay': 1.613178160041851e-06, 'adam_lr': 0.008132186723500825, 'batch_size': 80.0, 'windows': 3.0}"
ohlc_Binance_EOSUSDT_d.csv,"{'hidden_dim_lstm_1': 40.0, 'hidden_dim_lstm_2': 10.0, 'hidden_dim_gru': 10.0, 'dropout': 0.14981790939115225, 'optimizer': 'rmsprop', 'weight_decay': 4.663204609938951e-08, 'batch_size': 96.0, 'windows': 5.0}"
ohlc_Binance_ETCUSDT_d.csv,"{'hidden_dim_lstm_1': 40.0, 'hidden_dim_lstm_2': 30.0, 'hidden_dim_gru': 10.0, 'dropout': 0.11213069274640226, 'optimizer': 'Adam', 'weight_decay': 0.00011938223643440019, 'adam_lr': 0.016503320077009432, 'batch_size': 112.0, 'windows': 5.0}"
ohlc_Binance_ETHUSDT_d.csv,"{'hidden_dim_lstm_1': 20.0, 'hidden_dim_lstm_2': 60.0, 'hidden_dim_gru': 90.0, 'dropout': 0.13112790645592656, 'optimizer': 'MomentumSGD', 'weight_decay': 3.1003298466155477e-09, 'momentum_sgd_lr': 0.07263145081354153, 'batch_size': 112.0, 'windows': 1.0}"
ohlc_Binance_ICXUSDT_d.csv,"{'hidden_dim_lstm_1': 60.0, 'hidden_dim_lstm_2': 10.0, 'hidden_dim_gru': 20.0, 'dropout': 0.46097132162681553, 'optimizer': 'rmsprop', 'weight_decay': 3.4205360583187404e-10, 'batch_size': 80.0, 'windows': 7.0}"
ohlc_Binance_LINKUSDT_d.csv,"{'hidden_dim_lstm_1': 20.0, 'hidden_dim_lstm_2': 30.0, 'hidden_dim_gru': 70.0, 'dropout': 0.399145433713259, 'optimizer': 'MomentumSGD', 'weight_decay': 0.00026732065529410385, 'momentum_sgd_lr': 0.013662802063709468, 'batch_size': 96.0, 'windows': 3.0}"
ohlc_Binance_LTCUSDT_d.csv,"{'hidden_dim_lstm_1': 30.0, 'hidden_dim_lstm_2': 80.0, 'hidden_dim_gru': 40.0, 'dropout': 0.18542844540712283, 'optimizer': 'MomentumSGD', 'weight_decay': 9.029379913040785e-10, 'momentum_sgd_lr': 0.060093572658837, 'batch_size': 80.0, 'windows': 1.0}"
ohlc_Binance_MATICUSDT_d.csv,"{'hidden_dim_lstm_1': 80.0, 'hidden_dim_lstm_2': 10.0, 'hidden_dim_gru': 10.0, 'dropout': 0.4782181609567025, 'optimizer': 'Adam', 'weight_decay': 2.3601726347521e-06, 'adam_lr': 0.04154505348484138, 'batch_size': 128.0, 'windows': 5.0}"
ohlc_Binance_NEOUSDT_d.csv,"{'hidden_dim_lstm_1': 30.0, 'hidden_dim_lstm_2': 80.0, 'hidden_dim_gru': 50.0, 'dropout': 0.1125976797729388, 'optimizer': 'Adam', 'weight_decay': 6.220833809408968e-06, 'adam_lr': 0.006021136988580365, 'batch_size': 112.0, 'windows': 3.0}"
ohlc_Binance_ONEUSDT_d.csv,"{'hidden_dim_lstm_1': 100.0, 'hidden_dim_lstm_2': 40.0, 'hidden_dim_gru': 10.0, 'dropout': 0.10012219535282524, 'optimizer': 'rmsprop', 'weight_decay': 0.000655922445797433, 'batch_size': 80.0, 'windows': 1.0}"
ohlc_Binance_QTUMUSDT_d.csv,"{'hidden_dim_lstm_1': 70.0, 'hidden_dim_lstm_2': 50.0, 'hidden_dim_gru': 10.0, 'dropout': 0.19261263760464667, 'optimizer': 'MomentumSGD', 'weight_decay': 1.4059546802866289e-06, 'momentum_sgd_lr': 0.018183382871103822, 'batch_size': 16.0, 'windows': 3.0}"
ohlc_Binance_TRXUSDT_d.csv,"{'hidden_dim_lstm_1': 30.0, 'hidden_dim_lstm_2': 70.0, 'hidden_dim_gru': 90.0, 'dropout': 0.11587194440109275, 'optimizer': 'MomentumSGD', 'weight_decay': 2.8014780908493e-08, 'momentum_sgd_lr': 0.02712238206339109, 'batch_size': 32.0, 'windows': 5.0}"
ohlc_Binance_XLMUSDT_d.csv,"{'hidden_dim_lstm_1': 60.0, 'hidden_dim_lstm_2': 70.0, 'hidden_dim_gru': 80.0, 'dropout': 0.24276015787027466, 'optimizer': 'Adam', 'weight_decay': 2.800513702731636e-08, 'adam_lr': 0.00596160464122139, 'batch_size': 112.0, 'windows': 3.0}"
ohlc_Binance_XMRUSDT_d.csv,"{'hidden_dim_lstm_1': 80.0, 'hidden_dim_lstm_2': 20.0, 'hidden_dim_gru': 10.0, 'dropout': 0.1452762699085773, 'optimizer': 'Adam', 'weight_decay': 7.533183024791245e-07, 'adam_lr': 0.02575453462059402, 'batch_size': 128.0, 'windows': 1.0}"
ohlc_Binance_XRPUSDT_d.csv,"{'hidden_dim_lstm_1': 80.0, 'hidden_dim_lstm_2': 50.0, 'hidden_dim_gru': 10.0, 'dropout': 0.13589096292237765, 'optimizer': 'MomentumSGD', 'weight_decay': 1.5258514562497103e-09, 'momentum_sgd_lr': 0.09767514128387653, 'batch_size': 112.0, 'windows': 5.0}"
ohlc_Binance_ZECUSDT_d.csv,"{'hidden_dim_lstm_1': 80.0, 'hidden_dim_lstm_2': 10.0, 'hidden_dim_gru': 20.0, 'dropout': 0.3696232852562454, 'optimizer': 'rmsprop', 'weight_decay': 2.7645804168166206e-07, 'batch_size': 128.0, 'windows': 3.0}"
