file_name,best_parameter
ohlc_Binance_ADAUSDT_d.csv,"{'hidden_dim_lstm_1': 80.0, 'hidden_dim_lstm_2': 30.0, 'hidden_dim_gru': 20.0, 'dropout': 0.45232315731883926, 'optimizer': 'rmsprop', 'weight_decay': 5.940076925107675e-10, 'batch_size': 128.0, 'windows': 3.0}"
ohlc_Binance_BATUSDT_d.csv,"{'hidden_dim_lstm_1': 80.0, 'hidden_dim_lstm_2': 30.0, 'hidden_dim_gru': 20.0, 'dropout': 0.14319566632479822, 'optimizer': 'MomentumSGD', 'weight_decay': 1.490707937182893e-09, 'momentum_sgd_lr': 0.09553772735801658, 'batch_size': 112.0, 'windows': 3.0}"
ohlc_Binance_BNBUSDT_d.csv,"{'hidden_dim_lstm_1': 30.0, 'hidden_dim_lstm_2': 70.0, 'hidden_dim_gru': 30.0, 'dropout': 0.29389551121596497, 'optimizer': 'Adam', 'weight_decay': 1.4138490356136032e-09, 'adam_lr': 0.03402691107548518, 'batch_size': 128.0, 'windows': 1.0}"
ohlc_Binance_BTCUSDT_d.csv,"{'hidden_dim_lstm_1': 60.0, 'hidden_dim_lstm_2': 60.0, 'hidden_dim_gru': 20.0, 'dropout': 0.1645049736131265, 'optimizer': 'Adam', 'weight_decay': 1.0982772343176834e-05, 'adam_lr': 0.03297915629503797, 'batch_size': 128.0, 'windows': 3.0}"
ohlc_Binance_BTTUSDT_d.csv,"{'hidden_dim_lstm_1': 100.0, 'hidden_dim_lstm_2': 80.0, 'hidden_dim_gru': 70.0, 'dropout': 0.19207278410669426, 'optimizer': 'Adam', 'weight_decay': 0.00022543631376721618, 'adam_lr': 0.006472799030808561, 'batch_size': 128.0, 'windows': 5.0}"
ohlc_Binance_CELRUSDT_d.csv,"{'hidden_dim_lstm_1': 50.0, 'hidden_dim_lstm_2': 40.0, 'hidden_dim_gru': 10.0, 'dropout': 0.33608631998359517, 'optimizer': 'Adam', 'weight_decay': 2.7983021040430874e-08, 'adam_lr': 0.08268253759591024, 'batch_size': 96.0, 'windows': 5.0}"
ohlc_Binance_DASHUSDT_d.csv,"{'hidden_dim_lstm_1': 60.0, 'hidden_dim_lstm_2': 40.0, 'hidden_dim_gru': 20.0, 'dropout': 0.19628233394757982, 'optimizer': 'rmsprop', 'weight_decay': 0.00021623467115643969, 'batch_size': 128.0, 'windows': 1.0}"
ohlc_Binance_EOSUSDT_d.csv,"{'hidden_dim_lstm_1': 100.0, 'hidden_dim_lstm_2': 30.0, 'hidden_dim_gru': 60.0, 'dropout': 0.3001778777736263, 'optimizer': 'rmsprop', 'weight_decay': 5.340889847827583e-10, 'batch_size': 128.0, 'windows': 1.0}"
ohlc_Binance_ETCUSDT_d.csv,"{'hidden_dim_lstm_1': 50.0, 'hidden_dim_lstm_2': 40.0, 'hidden_dim_gru': 40.0, 'dropout': 0.11468587975931968, 'optimizer': 'Adam', 'weight_decay': 1.4716587979294151e-10, 'adam_lr': 0.04905149224368009, 'batch_size': 128.0, 'windows': 3.0}"
ohlc_Binance_ETHUSDT_d.csv,"{'hidden_dim_lstm_1': 70.0, 'hidden_dim_lstm_2': 70.0, 'hidden_dim_gru': 100.0, 'dropout': 0.2821427288144761, 'optimizer': 'MomentumSGD', 'weight_decay': 4.4849895251502214e-05, 'momentum_sgd_lr': 0.06343387970489613, 'batch_size': 128.0, 'windows': 1.0}"
ohlc_Binance_ICXUSDT_d.csv,"{'hidden_dim_lstm_1': 100.0, 'hidden_dim_lstm_2': 10.0, 'hidden_dim_gru': 20.0, 'dropout': 0.4657520330587879, 'optimizer': 'rmsprop', 'weight_decay': 2.7924329425990663e-09, 'batch_size': 112.0, 'windows': 5.0}"
ohlc_Binance_LINKUSDT_d.csv,"{'hidden_dim_lstm_1': 70.0, 'hidden_dim_lstm_2': 20.0, 'hidden_dim_gru': 20.0, 'dropout': 0.1538849480690123, 'optimizer': 'rmsprop', 'weight_decay': 2.862998192736654e-09, 'batch_size': 112.0, 'windows': 3.0}"
ohlc_Binance_LTCUSDT_d.csv,"{'hidden_dim_lstm_1': 80.0, 'hidden_dim_lstm_2': 20.0, 'hidden_dim_gru': 10.0, 'dropout': 0.11951997110261381, 'optimizer': 'rmsprop', 'weight_decay': 1.6569507701707342e-10, 'batch_size': 112.0, 'windows': 1.0}"
ohlc_Binance_MATICUSDT_d.csv,"{'hidden_dim_lstm_1': 20.0, 'hidden_dim_lstm_2': 90.0, 'hidden_dim_gru': 60.0, 'dropout': 0.3744409304206853, 'optimizer': 'MomentumSGD', 'weight_decay': 2.020272424140741e-08, 'momentum_sgd_lr': 0.03170740690226192, 'batch_size': 128.0, 'windows': 7.0}"
