file_name,best_parameter
ohlc_Binance_ADAUSDT_d.csv,"{'hidden_dim_lstm_1': 40.0, 'hidden_dim_lstm_2': 50.0, 'hidden_dim_gru': 10.0, 'dropout': 0.44523062280034525, 'optimizer': 'rmsprop', 'weight_decay': 5.5771536559576444e-08, 'batch_size': 16.0, 'windows': 1.0}"
ohlc_Binance_BATUSDT_d.csv,"{'hidden_dim_lstm_1': 40.0, 'hidden_dim_lstm_2': 10.0, 'hidden_dim_gru': 10.0, 'dropout': 0.19047244185015022, 'optimizer': 'rmsprop', 'weight_decay': 1.5478363574520156e-06, 'batch_size': 16.0, 'windows': 1.0}"
ohlc_Binance_BNBUSDT_d.csv,"{'hidden_dim_lstm_1': 60.0, 'hidden_dim_lstm_2': 20.0, 'hidden_dim_gru': 40.0, 'dropout': 0.1631096751442329, 'optimizer': 'Adam', 'weight_decay': 1.5836916415671874e-07, 'adam_lr': 0.0007410863483547045, 'batch_size': 16.0, 'windows': 1.0}"
ohlc_Binance_BTCUSDT_d.csv,"{'hidden_dim_lstm_1': 70.0, 'hidden_dim_lstm_2': 40.0, 'hidden_dim_gru': 50.0, 'dropout': 0.13848267221794197, 'optimizer': 'MomentumSGD', 'weight_decay': 2.5095665410700065e-07, 'momentum_sgd_lr': 0.03505596974611017, 'batch_size': 16.0, 'windows': 1.0}"
ohlc_Binance_BTTUSDT_d.csv,"{'hidden_dim_lstm_1': 20.0, 'hidden_dim_lstm_2': 80.0, 'hidden_dim_gru': 40.0, 'dropout': 0.19550964710313234, 'optimizer': 'MomentumSGD', 'weight_decay': 4.304805847305279e-07, 'momentum_sgd_lr': 0.008746568904160647, 'batch_size': 32.0, 'windows': 5.0}"
ohlc_Binance_CELRUSDT_d.csv,"{'hidden_dim_lstm_1': 20.0, 'hidden_dim_lstm_2': 10.0, 'hidden_dim_gru': 60.0, 'dropout': 0.40130546256991534, 'optimizer': 'MomentumSGD', 'weight_decay': 0.00013692972962205826, 'momentum_sgd_lr': 0.03247204897535799, 'batch_size': 128.0, 'windows': 1.0}"
ohlc_Binance_DASHUSDT_d.csv,"{'hidden_dim_lstm_1': 40.0, 'hidden_dim_lstm_2': 20.0, 'hidden_dim_gru': 70.0, 'dropout': 0.3004890910460228, 'optimizer': 'Adam', 'weight_decay': 2.0420809711285518e-07, 'adam_lr': 0.0003726745964649685, 'batch_size': 32.0, 'windows': 3.0}"
ohlc_Binance_EOSUSDT_d.csv,"{'hidden_dim_lstm_1': 40.0, 'hidden_dim_lstm_2': 30.0, 'hidden_dim_gru': 80.0, 'dropout': 0.3057445371164669, 'optimizer': 'rmsprop', 'weight_decay': 2.0004972962968272e-07, 'batch_size': 16.0, 'windows': 5.0}"
ohlc_Binance_ETCUSDT_d.csv,"{'hidden_dim_lstm_1': 90.0, 'hidden_dim_lstm_2': 80.0, 'hidden_dim_gru': 70.0, 'dropout': 0.2350077288573921, 'optimizer': 'MomentumSGD', 'weight_decay': 8.929693095598728e-06, 'momentum_sgd_lr': 0.015949170529383203, 'batch_size': 16.0, 'windows': 1.0}"
ohlc_Binance_ETHUSDT_d.csv,"{'hidden_dim_lstm_1': 70.0, 'hidden_dim_lstm_2': 50.0, 'hidden_dim_gru': 80.0, 'dropout': 0.1792262184007253, 'optimizer': 'rmsprop', 'weight_decay': 8.440031689612605e-07, 'batch_size': 16.0, 'windows': 3.0}"
ohlc_Binance_ICXUSDT_d.csv,"{'hidden_dim_lstm_1': 70.0, 'hidden_dim_lstm_2': 50.0, 'hidden_dim_gru': 80.0, 'dropout': 0.4956491715524073, 'optimizer': 'MomentumSGD', 'weight_decay': 7.583366526281246e-08, 'momentum_sgd_lr': 0.00015683531516828112, 'batch_size': 16.0, 'windows': 3.0}"
ohlc_Binance_LINKUSDT_d.csv,"{'hidden_dim_lstm_1': 10.0, 'hidden_dim_lstm_2': 50.0, 'hidden_dim_gru': 50.0, 'dropout': 0.1720448130620414, 'optimizer': 'Adam', 'weight_decay': 2.4930003965128895e-05, 'adam_lr': 0.010402717727733463, 'batch_size': 32.0, 'windows': 3.0}"
ohlc_Binance_LTCUSDT_d.csv,"{'hidden_dim_lstm_1': 100.0, 'hidden_dim_lstm_2': 100.0, 'hidden_dim_gru': 80.0, 'dropout': 0.4722127221531269, 'optimizer': 'Adam', 'weight_decay': 4.946397818304617e-07, 'adam_lr': 2.226728601041624e-05, 'batch_size': 16.0, 'windows': 5.0}"
ohlc_Binance_MATICUSDT_d.csv,"{'hidden_dim_lstm_1': 100.0, 'hidden_dim_lstm_2': 10.0, 'hidden_dim_gru': 20.0, 'dropout': 0.24130663264199143, 'optimizer': 'MomentumSGD', 'weight_decay': 2.740268337932304e-09, 'momentum_sgd_lr': 0.019594669037272604, 'batch_size': 128.0, 'windows': 5.0}"
ohlc_Binance_NEOUSDT_d.csv,"{'hidden_dim_lstm_1': 50.0, 'hidden_dim_lstm_2': 70.0, 'hidden_dim_gru': 90.0, 'dropout': 0.3792971746348419, 'optimizer': 'rmsprop', 'weight_decay': 0.00028307894884892855, 'batch_size': 16.0, 'windows': 5.0}"
ohlc_Binance_ONEUSDT_d.csv,"{'hidden_dim_lstm_1': 100.0, 'hidden_dim_lstm_2': 100.0, 'hidden_dim_gru': 20.0, 'dropout': 0.13176227914926278, 'optimizer': 'MomentumSGD', 'weight_decay': 0.0009808117157641789, 'momentum_sgd_lr': 0.006438686917641909, 'batch_size': 48.0, 'windows': 5.0}"
ohlc_Binance_QTUMUSDT_d.csv,"{'hidden_dim_lstm_1': 100.0, 'hidden_dim_lstm_2': 60.0, 'hidden_dim_gru': 10.0, 'dropout': 0.20046347505108658, 'optimizer': 'MomentumSGD', 'weight_decay': 8.809247530980751e-05, 'momentum_sgd_lr': 0.0027064732502988993, 'batch_size': 16.0, 'windows': 3.0}"
ohlc_Binance_TRXUSDT_d.csv,"{'hidden_dim_lstm_1': 100.0, 'hidden_dim_lstm_2': 100.0, 'hidden_dim_gru': 20.0, 'dropout': 0.44473200713673294, 'optimizer': 'MomentumSGD', 'weight_decay': 3.105869337138625e-08, 'momentum_sgd_lr': 1.6726354844598118e-05, 'batch_size': 96.0, 'windows': 7.0}"
ohlc_Binance_XLMUSDT_d.csv,"{'hidden_dim_lstm_1': 90.0, 'hidden_dim_lstm_2': 30.0, 'hidden_dim_gru': 20.0, 'dropout': 0.303254259366744, 'optimizer': 'MomentumSGD', 'weight_decay': 2.898968402248852e-10, 'momentum_sgd_lr': 0.0004640003895084775, 'batch_size': 32.0, 'windows': 3.0}"
ohlc_Binance_XMRUSDT_d.csv,"{'hidden_dim_lstm_1': 50.0, 'hidden_dim_lstm_2': 100.0, 'hidden_dim_gru': 10.0, 'dropout': 0.13207379971362898, 'optimizer': 'Adam', 'weight_decay': 9.328352868922987e-09, 'adam_lr': 0.002920602682130749, 'batch_size': 16.0, 'windows': 1.0}"
ohlc_Binance_XRPUSDT_d.csv,"{'hidden_dim_lstm_1': 90.0, 'hidden_dim_lstm_2': 20.0, 'hidden_dim_gru': 10.0, 'dropout': 0.44269880252996097, 'optimizer': 'MomentumSGD', 'weight_decay': 8.458889994033281e-05, 'momentum_sgd_lr': 5.014317003734735e-05, 'batch_size': 128.0, 'windows': 5.0}"
ohlc_Binance_ZECUSDT_d.csv,"{'hidden_dim_lstm_1': 40.0, 'hidden_dim_lstm_2': 20.0, 'hidden_dim_gru': 10.0, 'dropout': 0.4891519261246623, 'optimizer': 'MomentumSGD', 'weight_decay': 7.148264909927139e-08, 'momentum_sgd_lr': 0.0008464364423306836, 'batch_size': 128.0, 'windows': 7.0}"
