file_name,best_parameter
ohlc_Binance_ADAUSDT_d.csv,"{'hidden_dim_lstm_1': 10.0, 'hidden_dim_lstm_2': 20.0, 'hidden_dim_gru': 20.0, 'dropout': 0.15286975945414408, 'optimizer': 'Adam', 'weight_decay': 5.545421805274679e-07, 'adam_lr': 0.04296113016804844, 'batch_size': 64.0, 'windows': 1.0}"
ohlc_Binance_BATUSDT_d.csv,"{'hidden_dim_lstm_1': 100.0, 'hidden_dim_lstm_2': 100.0, 'hidden_dim_gru': 30.0, 'dropout': 0.13738183985946317, 'optimizer': 'Adam', 'weight_decay': 3.0837092761377176e-05, 'adam_lr': 0.08023809067426585, 'batch_size': 16.0, 'windows': 5.0}"
ohlc_Binance_BNBUSDT_d.csv,"{'hidden_dim_lstm_1': 50.0, 'hidden_dim_lstm_2': 20.0, 'hidden_dim_gru': 90.0, 'dropout': 0.157504778124325, 'optimizer': 'Adam', 'weight_decay': 7.50036387172686e-10, 'adam_lr': 0.005066472827718872, 'batch_size': 80.0, 'windows': 7.0}"
ohlc_Binance_BTCUSDT_d.csv,"{'hidden_dim_lstm_1': 80.0, 'hidden_dim_lstm_2': 20.0, 'hidden_dim_gru': 50.0, 'dropout': 0.2672787958855657, 'optimizer': 'rmsprop', 'weight_decay': 1.0887685421124188e-10, 'batch_size': 16.0, 'windows': 5.0}"
ohlc_Binance_BTTUSDT_d.csv,"{'hidden_dim_lstm_1': 40.0, 'hidden_dim_lstm_2': 30.0, 'hidden_dim_gru': 60.0, 'dropout': 0.12545899554294088, 'optimizer': 'rmsprop', 'weight_decay': 2.545150013091292e-05, 'batch_size': 32.0, 'windows': 1.0}"
ohlc_Binance_CELRUSDT_d.csv,"{'hidden_dim_lstm_1': 90.0, 'hidden_dim_lstm_2': 20.0, 'hidden_dim_gru': 70.0, 'dropout': 0.11940233703445303, 'optimizer': 'Adam', 'weight_decay': 1.60533356198262e-10, 'adam_lr': 1.3529138867072757e-05, 'batch_size': 16.0, 'windows': 1.0}"
ohlc_Binance_DASHUSDT_d.csv,"{'hidden_dim_lstm_1': 30.0, 'hidden_dim_lstm_2': 90.0, 'hidden_dim_gru': 100.0, 'dropout': 0.40665985076081673, 'optimizer': 'Adam', 'weight_decay': 1.326131793402123e-06, 'adam_lr': 0.011676270776877903, 'batch_size': 128.0, 'windows': 7.0}"
ohlc_Binance_EOSUSDT_d.csv,"{'hidden_dim_lstm_1': 100.0, 'hidden_dim_lstm_2': 90.0, 'hidden_dim_gru': 90.0, 'dropout': 0.338096898333776, 'optimizer': 'MomentumSGD', 'weight_decay': 8.742461661817379e-09, 'momentum_sgd_lr': 0.0066151425124306145, 'batch_size': 16.0, 'windows': 3.0}"
ohlc_Binance_ETCUSDT_d.csv,"{'hidden_dim_lstm_1': 80.0, 'hidden_dim_lstm_2': 30.0, 'hidden_dim_gru': 20.0, 'dropout': 0.3844655062964756, 'optimizer': 'Adam', 'weight_decay': 0.00024413910431504566, 'adam_lr': 0.006648230412214873, 'batch_size': 32.0, 'windows': 3.0}"
ohlc_Binance_ETHUSDT_d.csv,"{'hidden_dim_lstm_1': 90.0, 'hidden_dim_lstm_2': 10.0, 'hidden_dim_gru': 60.0, 'dropout': 0.323675162393832, 'optimizer': 'rmsprop', 'weight_decay': 7.330385385347588e-10, 'batch_size': 16.0, 'windows': 3.0}"
ohlc_Binance_ICXUSDT_d.csv,"{'hidden_dim_lstm_1': 90.0, 'hidden_dim_lstm_2': 80.0, 'hidden_dim_gru': 80.0, 'dropout': 0.34532684758239635, 'optimizer': 'MomentumSGD', 'weight_decay': 4.430632099345953e-07, 'momentum_sgd_lr': 0.00334496358250478, 'batch_size': 48.0, 'windows': 5.0}"
ohlc_Binance_LINKUSDT_d.csv,"{'hidden_dim_lstm_1': 90.0, 'hidden_dim_lstm_2': 90.0, 'hidden_dim_gru': 90.0, 'dropout': 0.35907353401304476, 'optimizer': 'MomentumSGD', 'weight_decay': 0.00010049230755262731, 'momentum_sgd_lr': 0.0017886422979102286, 'batch_size': 96.0, 'windows': 3.0}"
ohlc_Binance_LTCUSDT_d.csv,"{'hidden_dim_lstm_1': 30.0, 'hidden_dim_lstm_2': 40.0, 'hidden_dim_gru': 50.0, 'dropout': 0.40990844390127656, 'optimizer': 'rmsprop', 'weight_decay': 1.252218604066971e-06, 'batch_size': 16.0, 'windows': 7.0}"
ohlc_Binance_MATICUSDT_d.csv,"{'hidden_dim_lstm_1': 20.0, 'hidden_dim_lstm_2': 20.0, 'hidden_dim_gru': 60.0, 'dropout': 0.13307067191285113, 'optimizer': 'Adam', 'weight_decay': 0.000638730437906727, 'adam_lr': 0.001603261931202075, 'batch_size': 128.0, 'windows': 1.0}"
ohlc_Binance_NEOUSDT_d.csv,"{'hidden_dim_lstm_1': 20.0, 'hidden_dim_lstm_2': 10.0, 'hidden_dim_gru': 100.0, 'dropout': 0.2734320554907734, 'optimizer': 'MomentumSGD', 'weight_decay': 1.1781244361435001e-09, 'momentum_sgd_lr': 0.01262282469750426, 'batch_size': 16.0, 'windows': 7.0}"
ohlc_Binance_ONEUSDT_d.csv,"{'hidden_dim_lstm_1': 40.0, 'hidden_dim_lstm_2': 40.0, 'hidden_dim_gru': 70.0, 'dropout': 0.3782765170425149, 'optimizer': 'Adam', 'weight_decay': 4.6935182043221025e-07, 'adam_lr': 0.0004268431862741767, 'batch_size': 112.0, 'windows': 1.0}"
ohlc_Binance_QTUMUSDT_d.csv,"{'hidden_dim_lstm_1': 60.0, 'hidden_dim_lstm_2': 40.0, 'hidden_dim_gru': 30.0, 'dropout': 0.1773102765700764, 'optimizer': 'MomentumSGD', 'weight_decay': 1.1665503953530066e-06, 'momentum_sgd_lr': 1.1761305599152535e-05, 'batch_size': 16.0, 'windows': 1.0}"
ohlc_Binance_TRXUSDT_d.csv,"{'hidden_dim_lstm_1': 50.0, 'hidden_dim_lstm_2': 40.0, 'hidden_dim_gru': 50.0, 'dropout': 0.23196245034906718, 'optimizer': 'MomentumSGD', 'weight_decay': 1.3036647725389275e-09, 'momentum_sgd_lr': 0.0017774262698031181, 'batch_size': 32.0, 'windows': 3.0}"
ohlc_Binance_XLMUSDT_d.csv,"{'hidden_dim_lstm_1': 30.0, 'hidden_dim_lstm_2': 50.0, 'hidden_dim_gru': 50.0, 'dropout': 0.2525296767896169, 'optimizer': 'rmsprop', 'weight_decay': 3.6358099871791463e-07, 'batch_size': 32.0, 'windows': 7.0}"
ohlc_Binance_XMRUSDT_d.csv,"{'hidden_dim_lstm_1': 100.0, 'hidden_dim_lstm_2': 10.0, 'hidden_dim_gru': 100.0, 'dropout': 0.20904166964728008, 'optimizer': 'rmsprop', 'weight_decay': 3.859258737078165e-08, 'batch_size': 16.0, 'windows': 1.0}"
ohlc_Binance_XRPUSDT_d.csv,"{'hidden_dim_lstm_1': 90.0, 'hidden_dim_lstm_2': 60.0, 'hidden_dim_gru': 100.0, 'dropout': 0.12899139027986523, 'optimizer': 'rmsprop', 'weight_decay': 1.1063445437638612e-07, 'batch_size': 16.0, 'windows': 3.0}"
ohlc_Binance_ZECUSDT_d.csv,"{'hidden_dim_lstm_1': 30.0, 'hidden_dim_lstm_2': 30.0, 'hidden_dim_gru': 10.0, 'dropout': 0.13224950257185242, 'optimizer': 'Adam', 'weight_decay': 3.2428622061533256e-10, 'adam_lr': 0.008682336665935809, 'batch_size': 32.0, 'windows': 3.0}"
