,result
ADA,0.3764059245586395
BAT,0.4997808635234833
BNB,0.5118953585624695
BTC,0.44547340273857117
BTT,0.4687880575656891
CELR,0.38575392961502075
DASH,0.4994666278362274
EOS,0.4895486533641815
ETC,0.49674856662750244
ETH,0.4973137080669403
ICX,0.5116468667984009
LINK,0.5021896958351135
LTC,0.4413345456123352
MATIC,0.4956158697605133
NEO,0.48112615942955017
ONE,0.3895074129104614
QTUM,0.47685739398002625
TRX,0.4682997167110443
XLM,0.498189240694046
XMR,0.50568026304245
XRP,0.45109841227531433
ZEC,0.49202990531921387
