,result
ADA,0.5250832438468933
BAT,0.4855865240097046
BNB,0.5298846960067749
BTC,0.5133174657821655
BTT,0.47856155037879944
CELR,0.5107259750366211
DASH,0.4913749098777771
EOS,0.48202335834503174
ETC,0.4800430238246918
ETH,0.462706595659256
ICX,0.47647297382354736
LINK,0.5390090942382812
LTC,0.47357285022735596
MATIC,0.5245392918586731
NEO,0.4932348132133484
ONE,0.47981151938438416
QTUM,0.49540483951568604
TRX,0.5271643400192261
XLM,0.5334598422050476
XMR,0.477295458316803
XRP,0.48934680223464966
ZEC,0.5044897198677063
