,result
ADA,1.0349366664886475
BAT,1.0023198127746582
BNB,1.0236976146697998
BTC,1.022301435470581
BTT,1.0177836418151855
CELR,0.9728355407714844
DASH,0.9819542765617371
EOS,0.9702776670455933
ETC,0.9969550967216492
ETH,1.016148567199707
ICX,1.0367822647094727
LINK,1.0085276365280151
LTC,1.0019574165344238
MATIC,1.0029737949371338
NEO,0.9924391508102417
ONE,0.9735748767852783
QTUM,1.002989411354065
TRX,1.0108250379562378
XLM,0.9230537414550781
XMR,0.9993764162063599
XRP,0.9954466223716736
ZEC,1.0105236768722534
