,result
ADA,0.9893673124865142
BAT,1.0054025500590493
BNB,1.0276119227528344
BTC,0.9907730280235983
BTT,1.0196353136413727
CELR,1.102702770697527
DASH,1.0099218875843174
EOS,0.9856880748935218
ETC,0.9980988980769766
ETH,1.005913258778141
ICX,1.0316954915610708
LINK,1.0128958983002847
LTC,1.002644446295376
MATIC,1.0034132443714283
NEO,1.0243994056285866
ONE,0.9803528532466851
QTUM,1.0073027549329931
TRX,1.0030959000188933
XLM,1.0187264600507933
XMR,1.003175265760985
XRP,1.0048226734421029
ZEC,1.0059423439168247
