,result,target
ADA,0.3764059245586395,1.0
BAT,0.4997808635234833,1.0
BNB,0.5118953585624695,1.0
BTC,0.44547340273857117,1.0
BTT,0.4687880575656891,1.0
CELR,0.38575392961502075,1.0
DASH,0.4994666278362274,1.0
EOS,0.4895486533641815,1.0
ETC,0.49674856662750244,1.0
ETH,0.4973137080669403,1.0
ICX,0.5116468667984009,1.0
LINK,0.5021896958351135,1.0
LTC,0.4413345456123352,1.0
MATIC,0.4956158697605133,0.0
NEO,0.48112615942955017,1.0
ONE,0.3895074129104614,1.0
QTUM,0.47685739398002625,1.0
TRX,0.4682997167110443,1.0
XLM,0.498189240694046,1.0
XMR,0.50568026304245,1.0
XRP,0.45109841227531433,0.0
ZEC,0.49202990531921387,1.0
