,result,target
ADA,0.5250832438468933,1.0
BAT,0.4855865240097046,1.0
BNB,0.5298846960067749,1.0
BTC,0.5133174657821655,1.0
BTT,0.47856155037879944,1.0
CELR,0.5107259750366211,1.0
DASH,0.4913749098777771,1.0
EOS,0.48202335834503174,1.0
ETC,0.4800430238246918,1.0
ETH,0.462706595659256,1.0
ICX,0.47647297382354736,1.0
LINK,0.5390090942382812,1.0
LTC,0.47357285022735596,1.0
MATIC,0.5245392918586731,0.0
NEO,0.4932348132133484,1.0
ONE,0.47981151938438416,1.0
QTUM,0.49540483951568604,1.0
TRX,0.5271643400192261,1.0
XLM,0.5334598422050476,1.0
XMR,0.477295458316803,1.0
XRP,0.48934680223464966,0.0
ZEC,0.5044897198677063,1.0
