,result,target
ADA,0.9946024211916199,1.0310146211785558
BAT,0.9945600222147128,1.0246535375638222
BNB,0.9915429081173494,1.0118733509234827
BTC,0.9906540310009256,1.0303523295381343
BTT,0.9911901855748444,1.005696382796924
CELR,0.9936608181346805,1.2710672875011413
DASH,1.0028011316801395,1.0524216524216523
EOS,0.9935127471057872,1.0172093023255813
ETC,0.9872684326991868,1.000975419430355
ETH,0.9817867336917706,1.0245635245635245
ICX,1.0559907692448522,1.0314389359129381
LINK,1.010406178560488,1.0392638036809816
LTC,0.9760189584607483,1.0154894671623296
MATIC,1.0530111146332322,0.9959349593495935
NEO,0.9718059572261317,1.022594921965991
ONE,0.9943680766292478,1.1609741826958242
QTUM,0.9958671682362289,1.0184772516248841
TRX,1.0088189936001997,1.004759011745646
XLM,0.9949219916300052,1.0355434039644564
XMR,0.9724383663483859,1.0163198694410445
XRP,0.9872460613463444,0.9983055915478919
ZEC,1.0060454932172191,1.010717230008244
