,result,target
ADA,0.9893673124865142,0.9563380281690141
BAT,1.0054025500590493,0.957037037037037
BNB,1.0276119227528344,0.992548435171386
BTC,0.9907730280235983,0.9734073435221906
BTT,1.0196353136413727,0.9580238940910559
CELR,1.102702770697527,0.9930078901789723
DASH,1.0099218875843174,0.9583604424202994
EOS,0.9856880748935218,0.9618699399320972
ETC,0.9980988980769766,0.9916244214238484
ETH,1.005913258778141,0.9587502008141946
ICX,1.0316954915610708,0.9354624085163006
LINK,1.0128958983002847,0.96045197740113
LTC,1.002644446295376,0.9696551724137931
MATIC,1.0034132443714283,0.9686346863468634
NEO,1.0243994056285866,0.9594125500667556
ONE,0.9803528532466851,0.9246718660833174
QTUM,1.0073027549329931,0.9359057501080845
TRX,1.0030959000188933,0.9658099779044075
XLM,1.0187264600507933,0.9683018867924528
XMR,1.003175265760985,0.9799402475458813
XRP,1.0048226734421029,0.9685398134085486
ZEC,1.0059423439168247,0.9645933014354067
