,result
ADA,0.37453576922416687
BAT,0.4800080955028534
BNB,0.5108347535133362
BTC,0.4780195355415344
BTT,0.4565484821796417
CELR,0.5668006539344788
DASH,0.4936913549900055
EOS,0.4980506896972656
ETC,0.50357985496521
ETH,0.49558982253074646
ICX,0.5067509412765503
LINK,0.5317165851593018
LTC,0.4298601746559143
MATIC,0.5026166439056396
NEO,0.4746733605861664
ONE,0.5014000535011292
QTUM,0.5049965381622314
TRX,0.5102095603942871
XLM,0.5221050977706909
XMR,0.5157052278518677
XRP,0.4887503385543823
ZEC,0.4817080795764923
