,result,target
ADA,0.37453576922416687,1.0
BAT,0.4800080955028534,1.0
BNB,0.5108347535133362,1.0
BTC,0.4780195355415344,1.0
BTT,0.4565484821796417,1.0
CELR,0.5668006539344788,0.0
DASH,0.4936913549900055,1.0
EOS,0.4980506896972656,1.0
ETC,0.50357985496521,1.0
ETH,0.49558982253074646,1.0
ICX,0.5067509412765503,1.0
LINK,0.5317165851593018,1.0
LTC,0.4298601746559143,1.0
MATIC,0.5026166439056396,1.0
NEO,0.4746733605861664,1.0
ONE,0.5014000535011292,0.0
QTUM,0.5049965381622314,1.0
TRX,0.5102095603942871,1.0
XLM,0.5221050977706909,1.0
XMR,0.5157052278518677,1.0
XRP,0.4887503385543823,1.0
ZEC,0.4817080795764923,1.0
